Population, Crossover, Mutate, Iteration, Trial Num, Train Accuracy, Test Accuracy, Train Time
60,35,1,100,1, 68.282, 40.870, 18.510
60,35,1,100,2, 68.282, 40.870, 18.102
60,35,1,100,3, 68.282, 40.870, 18.656
60,35,1,200,1, 68.282, 40.870, 37.643
60,35,1,200,2, 89.207, 81.739, 36.843
60,35,1,200,3, 68.282, 40.870, 37.420
60,35,1,400,1, 90.088, 91.304, 74.802
60,35,1,400,2, 90.529, 86.957, 72.382
60,35,1,400,3, 68.282, 40.870, 75.132
60,35,1,800,1, 89.207, 89.565, 147.039
60,35,1,800,2, 68.282, 40.870, 144.652
60,35,1,800,3, 89.427, 83.478, 145.458
60,35,1,1200,1, 88.546, 83.478, 227.820
60,35,1,1200,2, 88.546, 90.435, 225.377
60,35,1,1200,3, 68.282, 40.870, 221.742
60,35,10,100,1, 68.282, 40.870, 20.936
60,35,10,100,2, 68.282, 40.870, 21.287
60,35,10,100,3, 68.282, 40.870, 29.696
60,35,10,200,1, 68.282, 40.870, 42.885
60,35,10,200,2, 70.485, 45.217, 43.212
60,35,10,200,3, 68.282, 40.870, 58.184
60,35,10,400,1, 90.969, 90.435, 83.864
60,35,10,400,2, 68.282, 40.870, 114.089
60,35,10,400,3, 68.282, 40.870, 101.799
60,35,10,800,1, 90.088, 81.739, 169.880
60,35,10,800,2, 88.987, 86.957, 219.960
60,35,10,800,3, 68.282, 40.870, 180.849
60,35,10,1200,1, 84.802, 86.087, 255.660
60,35,10,1200,2, 88.987, 89.565, 374.944
60,35,10,1200,3, 88.326, 87.826, 302.566
60,55,1,100,1, 68.282, 40.870, 32.282
60,55,1,100,2, 68.282, 40.870, 33.984
60,55,1,100,3, 68.282, 40.870, 27.798
60,55,1,200,1, 68.282, 40.870, 65.937
60,55,1,200,2, 90.969, 77.391, 58.800
60,55,1,200,3, 88.546, 89.565, 55.929
60,55,1,400,1, 68.282, 40.870, 121.158
60,55,1,400,2, 82.819, 81.739, 136.730
60,55,1,400,3, 68.502, 40.870, 111.139
60,55,1,800,1, 84.802, 89.565, 228.290
60,55,1,800,2, 68.282, 40.870, 243.716
60,55,1,800,3, 68.282, 40.870, 223.158
60,55,1,1200,1, 68.282, 40.870, 342.300
60,55,1,1200,2, 68.282, 40.870, 328.688
60,55,1,1200,3, 69.383, 43.478, 335.497
60,55,10,100,1, 68.282, 40.870, 27.519
60,55,10,100,2, 89.427, 86.087, 26.652
60,55,10,100,3, 68.282, 40.870, 27.568
60,55,10,200,1, 68.282, 40.870, 54.646
60,55,10,200,2, 88.546, 80.870, 54.106
60,55,10,200,3, 68.282, 40.870, 54.943
60,55,10,400,1, 68.282, 40.870, 112.120
60,55,10,400,2, 85.242, 74.783, 107.641
60,55,10,400,3, 86.344, 86.087, 109.423
60,55,10,800,1, 85.022, 78.261, 221.518
60,55,10,800,2, 88.546, 93.913, 223.973
60,55,10,800,3, 89.427, 92.174, 217.381
60,55,10,1200,1, 88.106, 66.957, 320.652
60,55,10,1200,2, 88.987, 92.174, 333.449
60,55,10,1200,3, 83.260, 84.348, 321.270
30,18,1,100,1, 68.282, 40.870, 9.555
30,18,1,100,2, 68.282, 40.870, 9.431
30,18,1,100,3, 85.463, 73.913, 9.390
30,18,1,200,1, 68.282, 40.870, 18.504
30,18,1,200,2, 84.802, 82.609, 18.530
30,18,1,200,3, 68.282, 40.870, 18.835
30,18,1,400,1, 68.282, 40.870, 38.207
30,18,1,400,2, 80.176, 60.000, 38.410
30,18,1,400,3, 75.551, 64.348, 37.020
30,18,1,800,1, 68.282, 40.870, 76.038
30,18,1,800,2, 68.502, 40.870, 72.867
30,18,1,800,3, 92.070, 80.000, 74.980
30,18,1,1200,1, 68.282, 40.870, 118.021
30,18,1,1200,2, 68.282, 40.870, 112.236
30,18,1,1200,3, 68.282, 40.870, 112.678
30,18,10,100,1, 68.282, 42.609, 10.536
30,18,10,100,2, 68.282, 40.870, 10.720
30,18,10,100,3, 68.282, 40.870, 10.896
30,18,10,200,1, 68.282, 40.870, 21.791
30,18,10,200,2, 89.207, 84.348, 22.706
30,18,10,200,3, 74.229, 53.043, 21.579
30,18,10,400,1, 82.819, 73.913, 43.012
30,18,10,400,2, 68.282, 40.870, 44.094
30,18,10,400,3, 68.282, 40.870, 42.818
30,18,10,800,1, 68.282, 40.870, 85.729
30,18,10,800,2, 68.282, 40.870, 86.779
30,18,10,800,3, 72.467, 49.565, 88.296
30,18,10,1200,1, 68.282, 40.870, 130.073
30,18,10,1200,2, 91.410, 89.565, 127.576
30,18,10,1200,3, 91.410, 81.739, 126.210
30,27,1,100,1, 68.282, 40.870, 13.911
30,27,1,100,2, 68.282, 40.870, 13.686
30,27,1,100,3, 68.282, 40.870, 13.534
30,27,1,200,1, 68.282, 40.870, 26.811
30,27,1,200,2, 68.282, 40.870, 27.770
30,27,1,200,3, 68.282, 40.870, 26.917
30,27,1,400,1, 68.282, 40.870, 54.861
30,27,1,400,2, 68.282, 40.870, 55.369
30,27,1,400,3, 68.282, 40.870, 53.389
30,27,1,800,1, 68.282, 40.870, 109.672
30,27,1,800,2, 68.282, 40.870, 109.622
30,27,1,800,3, 68.282, 40.870, 105.982
30,27,1,1200,1, 68.282, 40.870, 164.303
30,27,1,1200,2, 68.282, 40.870, 162.859
30,27,1,1200,3, 68.282, 40.870, 164.932
30,27,10,100,1, 68.282, 40.870, 13.805
30,27,10,100,2, 68.282, 40.870, 13.254
30,27,10,100,3, 68.282, 40.870, 13.529
30,27,10,200,1, 68.282, 40.870, 26.574
30,27,10,200,2, 68.282, 40.870, 26.390
30,27,10,200,3, 68.282, 40.870, 26.461
30,27,10,400,1, 68.282, 40.870, 54.238
30,27,10,400,2, 68.282, 40.870, 54.105
30,27,10,400,3, 85.683, 74.783, 53.375
30,27,10,800,1, 87.665, 86.957, 107.641
30,27,10,800,2, 68.282, 40.870, 105.571
30,27,10,800,3, 92.070, 82.609, 105.347
30,27,10,1200,1, 68.282, 40.870, 163.424
30,27,10,1200,2, 76.652, 68.696, 161.718
30,27,10,1200,3, 68.282, 40.870, 161.769
