Population, Crossover, Mutate, Iteration, Trial Num, Train Accuracy, Test Accuracy, Train Time
Population, Crossover, Mutate, Iteration, Trial Num, Train Accuracy, Test Accuracy, Train Time
100,60,2,100,1, 68.502, 41.739, 28.358
100,60,2,100,2, 78.194, 67.826, 32.006
100,60,2,100,3, 68.282, 40.870, 32.205
100,60,2,200,1, 91.189, 88.696, 55.876
100,60,2,200,2, 88.106, 88.696, 61.657
100,60,2,200,3, 83.700, 69.565, 63.651
100,60,2,400,1, 91.189, 87.826, 120.701
100,60,2,400,2, 68.282, 40.870, 126.584
100,60,2,400,3, 68.282, 40.870, 125.256
100,60,2,800,1, 87.445, 73.913, 247.780
100,60,2,800,2, 87.225, 88.696, 251.069
100,60,2,800,3, 90.088, 91.304, 249.307
100,60,10,100,1, 68.282, 40.870, 33.985
100,60,10,100,2, 68.722, 42.609, 32.130
100,60,10,100,3, 68.282, 40.870, 32.403
100,60,10,200,1, 68.282, 40.870, 66.881
100,60,10,200,2, 68.282, 40.870, 67.642
100,60,10,200,3, 68.282, 40.870, 63.525
100,60,10,400,1, 68.282, 40.870, 126.981
100,60,10,400,2, 90.969, 85.217, 132.618
100,60,10,400,3, 82.599, 84.348, 127.621
100,60,10,800,1, 92.731, 86.957, 254.771
100,60,10,800,2, 89.648, 91.304, 261.425
100,60,10,800,3, 89.868, 90.435, 254.556
100,90,2,100,1, 88.546, 84.348, 46.672
100,90,2,100,2, 68.282, 40.870, 46.051
100,90,2,100,3, 81.718, 76.522, 45.731
100,90,2,200,1, 68.282, 40.870, 90.777
100,90,2,200,2, 79.515, 73.043, 90.866
100,90,2,200,3, 68.282, 40.870, 90.809
100,90,2,400,1, 68.282, 40.870, 181.048
100,90,2,400,2, 90.088, 84.348, 187.493
100,90,2,400,3, 68.282, 40.870, 188.826
100,90,2,800,1, 68.282, 40.870, 361.459
100,90,2,800,2, 91.410, 73.043, 366.475
100,90,2,800,3, 90.529, 89.565, 354.140
100,90,10,100,1, 68.282, 40.870, 46.263
100,90,10,100,2, 68.282, 40.870, 44.902
100,90,10,100,3, 68.282, 40.870, 47.122
100,90,10,200,1, 68.282, 40.870, 94.969
100,90,10,200,2, 68.282, 40.870, 95.438
100,90,10,200,3, 90.749, 85.217, 93.909
100,90,10,400,1, 87.665, 88.696, 187.735
100,90,10,400,2, 68.282, 40.870, 184.422
100,90,10,400,3, 83.700, 86.087, 184.984
100,90,10,800,1, 87.885, 86.087, 368.161
100,90,10,800,2, 68.282, 40.870, 370.819
100,90,10,800,3, 71.586, 46.957, 373.085
200,120,4,100,1, 81.057, 82.609, 65.656
200,120,4,100,2, 68.502, 40.870, 62.710
200,120,4,100,3, 68.282, 40.870, 63.825
200,120,4,200,1, 74.890, 57.391, 127.496
200,120,4,200,2, 68.282, 40.870, 132.086
200,120,4,200,3, 68.282, 40.870, 131.987
200,120,4,400,1, 88.987, 90.435, 256.948
200,120,4,400,2, 85.242, 86.087, 256.907
200,120,4,400,3, 90.088, 91.304, 257.087
200,120,4,800,1, 92.731, 82.609, 521.279
200,120,4,800,2, 91.850, 91.304, 519.644
200,120,4,800,3, 88.767, 90.435, 519.705
200,120,20,100,1, 87.004, 76.522, 67.221
200,120,20,100,2, 68.502, 41.739, 67.739
200,120,20,100,3, 68.282, 40.870, 66.439
200,120,20,200,1, 68.282, 40.870, 124.046
200,120,20,200,2, 68.282, 40.870, 132.482
200,120,20,200,3, 68.282, 40.870, 132.112
200,120,20,400,1, 89.648, 91.304, 265.686
200,120,20,400,2, 91.189, 85.217, 263.174
200,120,20,400,3, 90.969, 92.174, 261.066
200,120,20,800,1, 92.070, 89.565, 521.327
200,120,20,800,2, 92.731, 91.304, 527.520
200,120,20,800,3, 88.106, 90.435, 530.529
200,180,4,100,1, 68.282, 40.870, 94.299
200,180,4,100,2, 84.141, 73.043, 103.816
200,180,4,100,3, 68.282, 40.870, 90.567
200,180,4,200,1, 88.106, 81.739, 216.728
200,180,4,200,2, 68.282, 40.870, 204.120
200,180,4,200,3, 68.282, 40.870, 177.951
200,180,4,400,1, 86.564, 88.696, 435.447
200,180,4,400,2, 91.189, 88.696, 353.720
200,180,4,400,3, 84.361, 85.217, 346.025
200,180,4,800,1, 90.088, 89.565, 819.369
200,180,4,800,2, 90.969, 88.696, 725.094
200,180,4,800,3, 92.070, 80.870, 721.556
200,180,20,100,1, 68.282, 40.870, 93.595
200,180,20,100,2, 68.282, 40.870, 92.526
200,180,20,100,3, 69.163, 43.478, 88.616
200,180,20,200,1, 68.282, 40.870, 187.325
200,180,20,200,2, 76.211, 80.000, 187.315
200,180,20,200,3, 85.022, 82.609, 177.247
200,180,20,400,1, 87.665, 86.957, 376.313
200,180,20,400,2, 90.308, 88.696, 371.446
200,180,20,400,3, 84.361, 87.826, 350.472
200,180,20,800,1, 91.850, 86.957, 769.063
200,180,20,800,2, 90.749, 90.435, 703.683
200,180,20,800,3, 88.326, 86.087, 702.786
