Initial Temp, Cooling Rate, Iteration, Train Accuracy Avg, Test Accuracy Avg, Train Time Avg, Train Accuracy Best, Test Accuracy Best, Train Time Best
Initial Temp, Cooling Rate, Iteration, Train Accuracy Avg, Test Accuracy Avg, Train Time Avg, Train Accuracy Best, Test Accuracy Best, Train Time Best
1E9,.90,100,57.56233333333333,50.145,1.0386666666666666,72.687,59.13,1.027
1E9,.90,200,58.29666666666666,48.98566666666667,2.085,68.282,65.217,2.066
1E9,.90,400,71.80633333333333,51.59433333333334,4.168666666666667,78.855,73.043,4.105
1E9,.90,800,75.11,55.942,8.258333333333333,85.683,74.783,8.152
1E9,.90,1200,82.746,82.31866666666667,12.995,90.088,83.478,12.669
1E9,.90,2500,72.467,55.942,27.161333333333335,79.515,85.217,26.763
1E9,.90,5000,91.62966666666667,86.95633333333332,53.193666666666665,94.273,89.565,52.117
1E9,.90,8000,91.55633333333333,88.116,85.31366666666666,92.731,90.435,84.459
1E9,.95,100,43.906,53.04333333333333,1.031,68.282,59.13,1.026
1E9,.95,200,61.45366666666666,61.15933333333333,2.067333333333333,84.361,83.478,2.038
1E9,.95,400,42.144,40.86966666666667,4.147666666666667,68.282,59.13,4.103
1E9,.95,800,72.02633333333334,52.754,8.167,79.515,76.522,8.123
1E9,.95,1200,76.06466666666667,60.29,12.407333333333334,85.022,86.087,12.25
1E9,.95,2500,86.34333333333332,77.39133333333334,25.897000000000002,89.427,88.696,25.67
1E9,.95,5000,91.777,87.82599999999998,52.315,92.291,89.565,51.437
1E9,.95,8000,90.96933333333334,87.82599999999998,85.192,94.053,91.304,83.46
1E9,.99,100,24.376,42.89833333333333,1.026,31.718,59.13,0.995
1E9,.99,200,43.906,53.04333333333333,2.042,68.282,59.13,2.025
1E9,.99,400,43.906,53.04333333333333,4.073999999999999,68.282,59.13,4.007
1E9,.99,800,55.87366666666666,46.667,8.219666666666667,68.282,58.261,8.072
1E9,.99,1200,56.093999999999994,46.95666666666667,12.399000000000001,68.282,59.13,12.166
1E9,.99,2500,56.093999999999994,47.24633333333333,26.130666666666666,68.282,59.13,25.996
1E9,.99,5000,81.64466666666668,72.46366666666667,52.184666666666665,87.665,84.348,50.082
1E9,.99,8000,92.87833333333333,86.95633333333335,85.05766666666666,93.392,89.565,82.259
1E11,.90,100,56.093999999999994,46.95666666666667,1.0286666666666668,68.282,59.13,1.012
1E11,.90,200,43.906,53.04333333333333,2.0500000000000003,68.282,59.13,2.027
1E11,.90,400,68.35533333333332,41.15966666666666,4.114,68.502,41.739,4.047
1E11,.90,800,74.30233333333332,52.75366666666667,8.347666666666667,78.634,62.609,8.247
1E11,.90,1200,80.98366666666668,66.66666666666667,12.978333333333333,87.004,86.087,12.191
1E11,.90,2500,91.997,87.82599999999998,25.896666666666665,93.392,91.304,24.969
1E11,.90,5000,93.24533333333333,85.79733333333333,52.473333333333336,94.053,86.957,52.169
1E11,.90,8000,93.46533333333332,86.08699999999999,84.643,94.273,88.696,83.526
1E11,.95,100,63.876666666666665,48.98566666666667,1.0156666666666667,68.282,65.217,1.001
1E11,.95,200,43.906,53.04333333333333,2.0783333333333336,68.282,59.13,2.066
1E11,.95,400,52.202666666666666,43.47866666666667,4.103333333333333,68.282,48.696,4.015
1E11,.95,800,75.18366666666667,51.59433333333334,8.39,88.987,73.043,8.31
1E11,.95,1200,68.35533333333332,41.15966666666666,12.473666666666666,68.502,41.739,12.451
1E11,.95,2500,82.08533333333332,71.01433333333334,26.484333333333336,88.767,86.087,26.157
1E11,.95,5000,91.40966666666667,87.53633333333333,52.38133333333334,92.952,89.565,51.941
1E11,.95,8000,93.24533333333333,89.27533333333334,84.95766666666667,94.053,89.565,83.63
1E11,.99,100,68.282,40.87,1.0199999999999998,68.282,40.87,1.012
1E11,.99,200,57.709333333333326,51.59433333333334,2.030333333333333,73.128,59.13,2.02
1E11,.99,400,58.00300000000001,51.59433333333334,4.116,74.009,59.13,4.085
1E11,.99,800,38.178999999999995,38.26066666666667,8.253333333333332,67.841,59.13,8.144
1E11,.99,1200,61.45366666666666,49.565666666666665,12.44,68.282,66.957,12.26
1E11,.99,2500,43.906,53.04333333333333,26.604666666666663,68.282,59.13,26.283
1E11,.99,5000,81.057,70.145,54.196666666666665,91.85,88.696,52.881
1E11,.99,8000,88.03233333333333,78.84033333333333,86.15033333333334,90.308,89.565,85.415
1E13,90,100,48.898666666666664,64.05766666666666,1.023,83.26,73.913,1.007
1E13,90,200,38.25266666666667,63.187999999999995,2.0613333333333332,51.322,71.304,2.014
1E13,90,400,44.346666666666664,53.913000000000004,4.140999999999999,68.282,61.739,4.066
1E13,90,800,76.13833333333332,57.391333333333336,8.226999999999999,88.987,81.739,8.145
1E13,90,1200,83.70033333333332,73.33333333333333,12.502333333333333,91.189,89.565,12.403
1E13,90,2500,86.78433333333334,88.69566666666667,25.968666666666667,90.749,91.304,25.329
1E13,90,5000,90.969,86.08733333333333,52.916666666666664,92.731,88.696,52.692
1E13,90,8000,91.26266666666668,87.82633333333335,85.556,92.731,92.174,84.81
1E13,.95,100,50.51399999999999,30.724999999999998,1.0213333333333334,68.282,40.87,1.007
1E13,.95,200,59.54466666666667,59.13033333333334,2.074,78.634,77.391,2.07
1E13,.95,400,51.17466666666667,46.95666666666667,4.1466666666666665,68.282,59.13,4.127
1E13,.95,800,56.38766666666667,46.95666666666667,8.279333333333334,69.163,59.13,8.066
1E13,.95,1200,79.73566666666666,69.27566666666667,12.356666666666667,87.004,86.957,12.191
1E13,.95,2500,83.70033333333333,80.86966666666666,25.860333333333333,89.427,86.957,25.736
1E13,.95,5000,85.53566666666666,75.07233333333333,54.45033333333333,92.07,91.304,53.032
1E13,.95,8000,91.777,84.63766666666668,85.48700000000001,92.952,89.565,84.397
1E13,.99,100,43.906,53.04333333333333,1.0443333333333333,68.282,59.13,1.023
1E13,.99,200,56.093999999999994,46.95666666666667,2.0690000000000004,68.282,59.13,2.031
1E13,.99,400,45.227666666666664,53.913000000000004,4.049,68.282,61.739,4.012
1E13,.99,800,43.906,53.04333333333333,8.326666666666668,68.282,59.13,8.14
1E13,.99,1200,67.32766666666667,40.580000000000005,12.257,68.282,40.87,12.0
1E13,.99,2500,43.906,53.04333333333333,25.837333333333333,68.282,59.13,25.515
1E13,.99,5000,82.012,73.33333333333333,53.318999999999996,88.106,85.217,53.056
1E13,.99,8000,93.90599999999999,84.63766666666666,84.217,94.493,87.826,83.119
