Initial Temp, Cooling Rate, Iteration, Trial Num, Train Accuracy, Test Accuracy, Train Time
Initial Temp, Cooling Rate, Iteration, Trial Num, Train Accuracy, Test Accuracy, Train Time
1E9,.90,100,1, 68.282, 40.870, 1.048
1E9,.90,100,2, 72.687, 50.435, 1.041
1E9,.90,100,3, 31.718, 59.130, 1.027
1E9,.90,200,1, 38.326, 65.217, 2.066
1E9,.90,200,2, 68.282, 40.870, 2.099
1E9,.90,200,3, 68.282, 40.870, 2.090
1E9,.90,400,1, 78.855, 73.043, 4.187
1E9,.90,400,2, 68.282, 40.870, 4.214
1E9,.90,400,3, 68.282, 40.870, 4.105
1E9,.90,800,1, 71.145, 51.304, 8.410
1E9,.90,800,2, 85.683, 74.783, 8.213
1E9,.90,800,3, 68.502, 41.739, 8.152
1E9,.90,1200,1, 76.652, 83.478, 12.692
1E9,.90,1200,2, 81.498, 80.000, 12.669
1E9,.90,1200,3, 90.088, 83.478, 13.624
1E9,.90,2500,1, 68.943, 41.739, 27.449
1E9,.90,2500,2, 68.943, 40.870, 26.763
1E9,.90,2500,3, 79.515, 85.217, 27.272
1E9,.90,5000,1, 88.546, 85.217, 54.572
1E9,.90,5000,2, 92.070, 89.565, 52.117
1E9,.90,5000,3, 94.273, 86.087, 52.892
1E9,.90,8000,1, 92.731, 90.435, 86.604
1E9,.90,8000,2, 92.070, 90.435, 84.459
1E9,.90,8000,3, 89.868, 83.478, 84.878
1E9,.95,100,1, 31.718, 59.130, 1.026
1E9,.95,100,2, 68.282, 40.870, 1.033
1E9,.95,100,3, 31.718, 59.130, 1.034
1E9,.95,200,1, 84.361, 83.478, 2.066
1E9,.95,200,2, 68.282, 40.870, 2.038
1E9,.95,200,3, 31.718, 59.130, 2.098
1E9,.95,400,1, 31.718, 59.130, 4.103
1E9,.95,400,2, 68.282, 40.870, 4.131
1E9,.95,400,3, 26.432, 22.609, 4.209
1E9,.95,800,1, 79.515, 76.522, 8.123
1E9,.95,800,2, 68.282, 40.870, 8.135
1E9,.95,800,3, 68.282, 40.870, 8.243
1E9,.95,1200,1, 68.282, 40.870, 12.250
1E9,.95,1200,2, 74.890, 53.913, 12.528
1E9,.95,1200,3, 85.022, 86.087, 12.444
1E9,.95,2500,1, 89.427, 84.348, 25.670
1E9,.95,2500,2, 80.396, 59.130, 26.346
1E9,.95,2500,3, 89.207, 88.696, 25.675
1E9,.95,5000,1, 91.630, 89.565, 51.437
1E9,.95,5000,2, 91.410, 85.217, 53.438
1E9,.95,5000,3, 92.291, 88.696, 52.070
1E9,.95,8000,1, 89.648, 91.304, 86.419
1E9,.95,8000,2, 89.207, 83.478, 83.460
1E9,.95,8000,3, 94.053, 88.696, 85.697
1E9,.99,100,1, 31.718, 59.130, 0.995
1E9,.99,100,2, 9.692, 10.435, 1.040
1E9,.99,100,3, 31.718, 59.130, 1.043
1E9,.99,200,1, 31.718, 59.130, 2.068
1E9,.99,200,2, 68.282, 40.870, 2.033
1E9,.99,200,3, 31.718, 59.130, 2.025
1E9,.99,400,1, 31.718, 59.130, 4.007
1E9,.99,400,2, 68.282, 40.870, 4.047
1E9,.99,400,3, 31.718, 59.130, 4.168
1E9,.99,800,1, 68.282, 40.870, 8.410
1E9,.99,800,2, 68.282, 40.870, 8.177
1E9,.99,800,3, 31.057, 58.261, 8.072
1E9,.99,1200,1, 68.282, 40.870, 12.166
1E9,.99,1200,2, 31.718, 59.130, 12.443
1E9,.99,1200,3, 68.282, 40.870, 12.588
1E9,.99,2500,1, 68.282, 40.870, 26.150
1E9,.99,2500,2, 68.282, 41.739, 26.246
1E9,.99,2500,3, 31.718, 59.130, 25.996
1E9,.99,5000,1, 71.586, 51.304, 53.568
1E9,.99,5000,2, 87.665, 81.739, 50.082
1E9,.99,5000,3, 85.683, 84.348, 52.904
1E9,.99,8000,1, 92.952, 83.478, 86.639
1E9,.99,8000,2, 93.392, 89.565, 82.259
1E9,.99,8000,3, 92.291, 87.826, 86.275
1E11,.90,100,1, 31.718, 59.130, 1.012
1E11,.90,100,2, 68.282, 40.870, 1.034
1E11,.90,100,3, 68.282, 40.870, 1.040
1E11,.90,200,1, 31.718, 59.130, 2.027
1E11,.90,200,2, 68.282, 40.870, 2.055
1E11,.90,200,3, 31.718, 59.130, 2.068
1E11,.90,400,1, 68.282, 40.870, 4.191
1E11,.90,400,2, 68.502, 41.739, 4.104
1E11,.90,400,3, 68.282, 40.870, 4.047
1E11,.90,800,1, 78.634, 53.913, 8.247
1E11,.90,800,2, 68.502, 41.739, 8.422
1E11,.90,800,3, 75.771, 62.609, 8.374
1E11,.90,1200,1, 85.683, 66.087, 12.299
1E11,.90,1200,2, 87.004, 86.087, 12.191
1E11,.90,1200,3, 70.264, 47.826, 14.445
1E11,.90,2500,1, 91.189, 88.696, 25.677
1E11,.90,2500,2, 93.392, 83.478, 24.969
1E11,.90,2500,3, 91.410, 91.304, 27.044
1E11,.90,5000,1, 93.172, 84.348, 52.344
1E11,.90,5000,2, 92.511, 86.957, 52.169
1E11,.90,5000,3, 94.053, 86.087, 52.907
1E11,.90,8000,1, 94.273, 85.217, 86.433
1E11,.90,8000,2, 93.612, 84.348, 83.526
