Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, num_iterations, avg, best, train_time
1.0E9,0.8,100,6.0,7.0,0
1.0E9,0.8,200,53.333333333333336,76.0,1
1.0E9,0.8,400,94.11111111111113,87.0,2
1.0E9,0.8,1000,115.37037037037038,93.0,1
1.0E9,0.8,2500,150.45679012345678,113.0,4
1.0E9,0.8,5000,163.1522633744856,113.0,6
1.0E9,0.8,10000,167.3840877914952,113.0,8
1.0E9,0.8,20000,168.7946959304984,113.0,20
1.0E9,0.9,100,7.0,11.0,0
1.0E9,0.9,200,8.333333333333334,11.0,0
1.0E9,0.9,400,54.11111111111111,72.0,1
1.0E9,0.9,1000,104.7037037037037,95.0,1
1.0E9,0.9,2500,144.5679012345679,111.0,1
1.0E9,0.9,5000,161.18930041152262,113.0,2
1.0E9,0.9,10000,166.72976680384087,113.0,10
1.0E9,0.9,20000,168.57658893461362,113.0,14
1.0E9,0.95,100,8.666666666666666,10.0,0
1.0E9,0.95,200,8.555555555555555,10.0,0
1.0E9,0.95,400,8.518518518518519,10.0,1
1.0E9,0.95,1000,85.8395061728395,92.0,0
1.0E9,0.95,2500,128.2798353909465,113.0,1
1.0E9,0.95,5000,155.7599451303155,113.0,3
1.0E9,0.95,10000,164.91998171010516,113.0,4
1.0E9,0.95,20000,167.97332723670172,113.0,21
1.0E9,0.99,100,6.666666666666667,9.0,0
1.0E9,0.99,200,7.888888888888889,9.0,0
1.0E9,0.99,400,8.296296296296296,9.0,0
1.0E9,0.99,1000,7.765432098765433,9.0,1
1.0E9,0.99,2500,8.25514403292181,9.0,2
1.0E9,0.99,5000,110.08504801097394,113.0,3
1.0E9,0.99,10000,149.69501600365797,113.0,6
1.0E9,0.99,20000,162.898338667886,113.0,11
1.0E10,0.8,100,5.333333333333333,6.0,0
1.0E10,0.8,200,10.777777777777777,13.0,0
1.0E10,0.8,400,83.92592592592592,87.0,0
1.0E10,0.8,1000,114.64197530864197,93.0,0
1.0E10,0.8,2500,145.21399176954733,110.0,1
1.0E10,0.8,5000,161.40466392318243,113.0,4
1.0E10,0.8,10000,166.8015546410608,113.0,7
1.0E10,0.8,20000,168.6005182136869,113.0,15
1.0E10,0.9,100,6.333333333333333,8.0,0
1.0E10,0.9,200,7.444444444444444,8.0,0
1.0E10,0.9,400,56.14814814814815,83.0,0
1.0E10,0.9,1000,108.04938271604938,104.0,1
1.0E10,0.9,2500,134.68312757201645,107.0,1
1.0E10,0.9,5000,157.89437585733882,113.0,3
1.0E10,0.9,10000,165.63145861911292,113.0,12
1.0E10,0.9,20000,168.21048620637097,113.0,24
1.0E10,0.95,100,26.333333333333332,67.0,0
1.0E10,0.95,200,13.444444444444443,67.0,0
1.0E10,0.95,400,9.814814814814815,67.0,1
1.0E10,0.95,1000,67.60493827160494,92.0,0
1.0E10,0.95,2500,122.53497942386832,104.0,2
1.0E10,0.95,5000,153.84499314128945,113.0,5
1.0E10,0.95,10000,164.28166438042982,113.0,5
1.0E10,0.95,20000,167.7605547934766,113.0,12
1.0E10,0.99,100,27.333333333333332,69.0,0
1.0E10,0.99,200,35.11111111111111,69.0,0
1.0E10,0.99,400,17.703703703703702,69.0,0
1.0E10,0.99,1000,12.234567901234568,69.0,1
1.0E10,0.99,2500,31.078189300411523,69.0,1
1.0E10,0.99,5000,114.69272976680384,109.0,2
1.0E10,0.99,10000,151.23090992226795,113.0,6
1.0E10,0.99,20000,163.41030330742265,113.0,10
1.0E11,0.8,100,5.0,6.0,0
1.0E11,0.8,200,70.66666666666667,71.0,0
1.0E11,0.8,400,74.55555555555556,72.0,0
1.0E11,0.8,1000,114.85185185185185,95.0,1
1.0E11,0.8,2500,147.28395061728395,113.0,1
1.0E11,0.8,5000,162.09465020576133,113.0,4
1.0E11,0.8,10000,167.0315500685871,113.0,7
1.0E11,0.8,20000,168.67718335619568,113.0,15
1.0E11,0.9,100,5.333333333333333,7.0,0
1.0E11,0.9,200,29.11111111111111,68.0,0
1.0E11,0.9,400,82.70370370370371,77.0,0
1.0E11,0.9,1000,115.5679012345679,93.0,0
1.0E11,0.9,2500,138.8559670781893,108.0,1
1.0E11,0.9,5000,159.28532235939645,113.0,3
1.0E11,0.9,10000,166.09510745313216,113.0,6
1.0E11,0.9,20000,168.36503581771072,113.0,15
1.0E11,0.95,100,6.333333333333333,8.0,0
1.0E11,0.95,200,7.444444444444444,8.0,0
1.0E11,0.95,400,7.814814814814814,8.0,1
1.0E11,0.95,1000,79.27160493827161,81.0,0
1.0E11,0.95,2500,136.4238683127572,113.0,1
1.0E11,0.95,5000,158.47462277091907,113.0,3
1.0E11,0.95,10000,165.824874256973,113.0,5
1.0E11,0.95,20000,168.27495808565766,113.0,23
1.0E11,0.99,100,5.666666666666667,6.0,0
1.0E11,0.99,200,8.88888888888889,8.0,0
1.0E11,0.99,400,8.962962962962964,8.0,0
1.0E11,0.99,1000,10.654320987654321,10.0,1
1.0E11,0.99,2500,72.88477366255144,72.0,2
1.0E11,0.99,5000,125.29492455418381,113.0,4
1.0E11,0.99,10000,154.7649748513946,113.0,10
1.0E11,0.99,20000,164.58832495046488,113.0,11
1.0E12,0.8,100,5.666666666666667,7.0,0
1.0E12,0.8,200,34.88888888888889,71.0,0
1.0E12,0.8,400,66.96296296296296,80.0,1
1.0E12,0.8,1000,116.32098765432097,103.0,0
1.0E12,0.8,2500,137.440329218107,108.0,1
1.0E12,0.8,5000,158.8134430727023,113.0,3
1.0E12,0.8,10000,165.93781435756742,113.0,7
1.0E12,0.8,20000,168.3126047858558,113.0,15
1.0E12,0.9,100,7.0,8.0,0
1.0E12,0.9,200,7.0,8.0,1
1.0E12,0.9,400,55.666666666666664,73.0,0
1.0E12,0.9,1000,104.55555555555554,87.0,0
1.0E12,0.9,2500,145.1851851851852,113.0,1
1.0E12,0.9,5000,161.39506172839506,113.0,3
1.0E12,0.9,10000,166.79835390946502,113.0,5
1.0E12,0.9,20000,168.599451303155,113.0,15
1.0E12,0.95,100,5.0,6.0,0
1.0E12,0.95,200,8.0,8.0,0
1.0E12,0.95,400,8.0,8.0,0
1.0E12,0.95,1000,82.0,84.0,1
1.0E12,0.95,2500,136.0,113.0,1
1.0E12,0.95,5000,158.33333333333334,113.0,3
1.0E12,0.95,10000,165.7777777777778,113.0,5
1.0E12,0.95,20000,168.25925925925927,113.0,13
1.0E12,0.99,100,5.333333333333333,6.0,0
1.0E12,0.99,200,7.111111111111111,6.0,0
1.0E12,0.99,400,9.037037037037036,7.0,0
1.0E12,0.99,1000,10.345679012345679,8.0,0
1.0E12,0.99,2500,52.44855967078189,71.0,1
1.0E12,0.99,5000,121.14951989026063,112.0,2
1.0E12,0.99,10000,153.38317329675354,113.0,5
1.0E12,0.99,20000,164.12772443225117,113.0,9
1.0E13,0.8,100,5.333333333333333,7.0,0
1.0E13,0.8,200,52.11111111111111,73.0,0
1.0E13,0.8,400,93.37037037037037,79.0,0
1.0E13,0.8,1000,125.79012345679013,100.0,1
1.0E13,0.8,2500,154.93004115226339,113.0,1
1.0E13,0.8,5000,164.64334705075444,113.0,3
1.0E13,0.8,10000,167.8811156835848,113.0,7
1.0E13,0.8,20000,168.96037189452827,113.0,16
1.0E13,0.9,100,6.333333333333333,7.0,0
1.0E13,0.9,200,10.444444444444445,12.0,0
1.0E13,0.9,400,33.81481481481482,69.0,0
1.0E13,0.9,1000,80.27160493827161,87.0,1
1.0E13,0.9,2500,128.75720164609052,111.0,1
1.0E13,0.9,5000,155.9190672153635,113.0,2
1.0E13,0.9,10000,164.97302240512116,113.0,5
1.0E13,0.9,20000,167.9910074683737,113.0,16
1.0E13,0.95,100,27.333333333333332,69.0,0
1.0E13,0.95,200,16.444444444444443,69.0,0
1.0E13,0.95,400,10.148148148148147,69.0,0
1.0E13,0.95,1000,85.38271604938272,85.0,0
1.0E13,0.95,2500,132.1275720164609,105.0,1
1.0E13,0.95,5000,157.04252400548697,113.0,3
1.0E13,0.95,10000,165.34750800182897,113.0,4
1.0E13,0.95,20000,168.11583600060965,113.0,11
1.0E13,0.99,100,10.333333333333334,12.0,0
1.0E13,0.99,200,8.777777777777779,12.0,0
1.0E13,0.99,400,32.59259259259259,69.0,0
1.0E13,0.99,1000,18.530864197530864,69.0,0
1.0E13,0.99,2500,53.51028806584362,69.0,2
1.0E13,0.99,5000,126.83676268861454,110.0,2
1.0E13,0.99,10000,155.27892089620485,113.0,4
1.0E13,0.99,20000,164.75964029873495,113.0,12

Genetic Algorithm
---------------------------------
GA, crossover, mutation, num_iterations, avg, best, train_time
10,3,100,74.66666666666667,76.0,9
10,3,200,100.22222222222223,76.0,13
10,3,400,111.74074074074075,81.0,32
10,3,1000,115.58024691358025,82.0,63
10,3,2500,122.86008230452676,85.0,111
10,3,5000,133.2866941015089,100.0,224
10,3,10000,139.4288980338363,101.0,458
10,3,20000,148.14296601127876,113.0,880
10,6,100,74.0,76.0,4
10,6,200,103.66666666666667,81.0,9
10,6,400,114.22222222222223,81.0,19
10,6,1000,115.07407407407408,81.0,45
10,6,2500,128.69135802469137,92.0,114
10,6,5000,140.89711934156378,106.0,227
10,6,10000,152.96570644718793,109.0,455
10,6,20000,157.32190214906265,111.0,869
10,9,100,71.66666666666667,73.0,4
10,9,200,101.22222222222223,81.0,8
10,9,400,109.74074074074075,81.0,19
10,9,1000,119.58024691358025,92.0,44
10,9,2500,129.86008230452674,93.0,113
10,9,5000,142.95336076817557,112.0,219
10,9,10000,151.65112025605853,112.0,441
10,9,20000,154.88370675201952,113.0,873
10,12,100,75.0,78.0,6
10,12,200,99.0,78.0,9
10,12,400,111.0,81.0,19
10,12,1000,119.0,87.0,45
10,12,2500,134.33333333333334,100.0,117
10,12,5000,152.44444444444446,113.0,220
10,12,10000,161.4814814814815,113.0,436
10,12,20000,163.49382716049385,113.0,887
10,15,100,76.0,78.0,5
10,15,200,103.66666666666667,81.0,10
10,15,400,112.8888888888889,81.0,19
10,15,1000,119.96296296296298,83.0,47
10,15,2500,143.65432098765433,112.0,117
10,15,5000,151.5514403292181,112.0,233
10,15,10000,150.85048010973938,112.0,455
10,15,20000,162.95016003657977,113.0,887
20,3,100,75.33333333333333,79.0,5
20,3,200,104.44444444444444,89.0,10
20,3,400,111.14814814814815,89.0,18
20,3,1000,117.71604938271605,89.0,45
20,3,2500,119.57201646090535,89.0,116
20,3,5000,132.52400548696843,97.0,227
20,3,10000,135.84133516232282,104.0,464
20,3,20000,149.61377838744093,112.0,930
20,6,100,75.0,78.0,5
20,6,200,103.0,82.0,10
20,6,400,111.66666666666667,82.0,19
20,6,1000,122.8888888888889,90.0,48
20,6,2500,128.2962962962963,90.0,119
20,6,5000,139.09876543209876,99.0,241
20,6,10000,144.36625514403292,111.0,464
20,6,20000,148.78875171467766,112.0,952
20,9,100,77.33333333333333,82.0,6
20,9,200,99.44444444444444,82.0,10
20,9,400,113.14814814814815,83.0,20
20,9,1000,117.04938271604938,83.0,48
20,9,2500,125.68312757201646,92.0,119
20,9,5000,140.22770919067216,113.0,234
20,9,10000,156.07590306355738,113.0,478
20,9,20000,162.35863435451913,113.0,1061
20,12,100,84.0,90.0,6
20,12,200,105.33333333333333,90.0,12
20,12,400,121.1111111111111,93.0,20
20,12,1000,124.37037037037037,93.0,56
20,12,2500,137.45679012345678,107.0,131
20,12,5000,153.81893004115227,113.0,249
20,12,10000,163.2729766803841,113.0,524
20,12,20000,165.0909922267947,113.0,1101
20,15,100,77.33333333333333,79.0,8
20,15,200,109.77777777777777,93.0,15
20,15,400,115.5925925925926,93.0,24
20,15,1000,131.19753086419755,102.0,55
20,15,2500,138.73251028806587,103.0,144
20,15,5000,137.91083676268863,107.0,284
20,15,10000,155.30361225422953,113.0,576
20,15,20000,160.76787075140984,113.0,1122
30,3,100,78.33333333333333,85.0,5
30,3,200,106.44444444444444,85.0,13
30,3,400,109.48148148148148,85.0,22
30,3,1000,115.1604938271605,86.0,55
30,3,2500,125.38683127572017,89.0,141
30,3,5000,128.1289437585734,90.0,277
30,3,10000,141.70964791952449,101.0,555
30,3,20000,147.90321597317484,106.0,1091
30,6,100,73.33333333333333,75.0,6
30,6,200,98.1111111111111,75.0,13
30,6,400,107.37037037037037,76.0,23
30,6,1000,114.12345679012346,86.0,58
30,6,2500,125.37448559670781,91.0,150
30,6,5000,133.7914951989026,102.0,282
30,6,10000,153.26383173296753,113.0,551
30,6,20000,158.0879439109892,113.0,1129
30,9,100,74.0,76.0,6
30,9,200,101.66666666666667,82.0,14
30,9,400,111.22222222222223,83.0,24
30,9,1000,125.4074074074074,94.0,63
30,9,2500,130.46913580246914,95.0,144
30,9,5000,145.82304526748973,106.0,289
30,9,10000,152.2743484224966,106.0,584
30,9,20000,153.09144947416553,106.0,1152
30,12,100,80.0,84.0,7
30,12,200,107.0,84.0,17
30,12,400,116.33333333333333,92.0,24
30,12,1000,127.44444444444444,97.0,62
30,12,2500,132.8148148148148,98.0,149
30,12,5000,140.60493827160494,101.0,303
30,12,10000,149.53497942386832,113.0,611
30,12,20000,161.84499314128945,113.0,1221
30,15,100,80.66666666666667,84.0,7
30,15,200,107.8888888888889,85.0,17
30,15,400,115.62962962962963,85.0,24
30,15,1000,123.87654320987654,89.0,60
30,15,2500,137.95884773662553,105.0,166
30,15,5000,156.31961591220852,113.0,302
30,15,10000,162.10653863740285,113.0,648
30,15,20000,167.0355128791343,113.0,1228
40,3,100,80.33333333333333,82.0,8
40,3,200,101.44444444444444,82.0,17
40,3,400,106.81481481481482,82.0,32
40,3,1000,114.27160493827161,82.0,82
40,3,2500,129.75720164609052,101.0,152
40,3,5000,129.9190672153635,101.0,303
40,3,10000,141.97302240512116,102.0,616
40,3,20000,148.32434080170705,112.0,1285
40,6,100,80.66666666666667,89.0,9
40,6,200,101.8888888888889,89.0,14
40,6,400,110.62962962962963,89.0,28
40,6,1000,121.20987654320987,90.0,62
40,6,2500,129.7366255144033,102.0,149
40,6,5000,141.9122085048011,106.0,324
40,6,10000,136.30406950160037,106.0,601
40,6,20000,145.10135650053346,110.0,1296
40,9,100,76.33333333333333,78.0,7
40,9,200,104.1111111111111,82.0,14
40,9,400,116.03703703703702,83.0,29
40,9,1000,130.01234567901233,102.0,63
40,9,2500,137.00411522633746,107.0,162
40,9,5000,138.66803840877915,107.0,310
40,9,10000,146.88934613625972,110.0,710
40,9,20000,154.29644871208657,113.0,1323
40,12,100,75.33333333333333,78.0,6
40,12,200,109.77777777777777,90.0,15
40,12,400,122.25925925925925,93.0,26
40,12,1000,122.08641975308642,93.0,65
40,12,2500,130.02880658436214,94.0,156
40,12,5000,147.3429355281207,111.0,313
40,12,10000,160.1143118427069,113.0,628
40,12,20000,165.03810394756897,113.0,1785
40,15,100,75.66666666666667,77.0,9
40,15,200,103.22222222222223,81.0,16
40,15,400,116.74074074074075,88.0,37
40,15,1000,134.58024691358025,104.0,89
40,15,2500,145.86008230452674,104.0,211
40,15,5000,154.95336076817557,112.0,386
40,15,10000,164.3177869227252,113.0,1064
40,15,20000,167.7725956409084,113.0,1574
50,3,100,79.66666666666667,83.0,7
50,3,200,103.8888888888889,83.0,18
50,3,400,116.96296296296298,87.0,33
50,3,1000,119.98765432098766,87.0,89
50,3,2500,124.32921810699588,89.0,215
50,3,5000,130.44307270233196,94.0,409
50,3,10000,148.14769090077732,108.0,841
50,3,20000,155.0492303002591,109.0,1587
50,6,100,82.66666666666667,86.0,8
50,6,200,107.55555555555556,86.0,16
50,6,400,117.18518518518518,86.0,35
50,6,1000,120.06172839506172,89.0,82
50,6,2500,127.6872427983539,93.0,200
50,6,5000,138.8957475994513,110.0,385
50,6,10000,145.63191586648375,113.0,921
50,6,20000,158.21063862216124,113.0,1610
50,9,100,78.66666666666667,82.0,8
50,9,200,104.55555555555556,85.0,17
50,9,400,117.85185185185185,85.0,39
50,9,1000,127.61728395061728,96.0,84
50,9,2500,136.2057613168724,96.0,213
50,9,5000,145.7352537722908,110.0,428
50,9,10000,153.91175125743027,113.0,862
50,9,20000,159.97058375247676,113.0,1813
50,12,100,80.33333333333333,85.0,9
50,12,200,108.44444444444444,85.0,17
50,12,400,121.14814814814815,93.0,34
50,12,1000,130.0493827160494,96.0,84
50,12,2500,138.34979423868313,101.0,240
50,12,5000,144.11659807956104,106.0,429
50,12,10000,150.37219935985368,113.0,863
50,12,20000,161.12406645328454,113.0,1642
50,15,100,78.33333333333333,80.0,8
50,15,200,113.44444444444444,88.0,17
50,15,400,119.81481481481482,88.0,34
50,15,1000,127.93827160493828,94.0,94
50,15,2500,138.97942386831275,104.0,221
50,15,5000,156.9931412894376,113.0,427
50,15,10000,164.3310470964792,113.0,1080
50,15,20000,167.44368236549306,113.0,1912
60,3,100,80.66666666666667,81.0,9
60,3,200,105.22222222222223,84.0,16
60,3,400,114.4074074074074,84.0,35
60,3,1000,117.80246913580247,84.0,86
60,3,2500,124.26748971193416,93.0,216
60,3,5000,144.75582990397805,110.0,421
60,3,10000,144.58527663465935,110.0,798
60,3,20000,152.86175887821977,110.0,1652
60,6,100,80.0,91.0,11
60,6,200,109.33333333333333,91.0,20
60,6,400,122.1111111111111,94.0,39
60,6,1000,124.7037037037037,94.0,83
60,6,2500,128.90123456790124,94.0,237
60,6,5000,132.96707818930042,95.0,404
60,6,10000,148.98902606310014,110.0,844
60,6,20000,153.3296753543667,110.0,1592
60,9,100,77.66666666666667,80.0,9
60,9,200,106.55555555555556,88.0,19
60,9,400,113.51851851851852,88.0,34
60,9,1000,125.50617283950618,89.0,82
60,9,2500,125.50205761316873,89.0,210
60,9,5000,141.1673525377229,113.0,1473
60,9,10000,152.72245084590762,113.0,1072
60,9,20000,159.5741502819692,113.0,2499
60,12,100,79.66666666666667,88.0,13
60,12,200,110.8888888888889,90.0,97
60,12,400,122.2962962962963,90.0,46
60,12,1000,132.76543209876544,96.0,325
60,12,2500,140.9218106995885,99.0,288
60,12,5000,147.97393689986282,107.0,600
60,12,10000,152.65797896662093,112.0,1127
60,12,20000,163.88599298887365,113.0,2152
60,15,100,85.33333333333333,92.0,12
60,15,200,104.77777777777777,92.0,26
60,15,400,118.5925925925926,92.0,47
60,15,1000,133.53086419753086,103.0,106
60,15,2500,148.84362139917695,112.0,251
60,15,5000,158.94787379972567,113.0,968
60,15,10000,163.64929126657523,113.0,1367
60,15,20000,167.21643042219173,113.0,2336

Genetic Algorithm
---------------------------------
GA, crossover, mutation, num_iterations, avg, best, train_time
100,3,100,81.0,83.0,19
100,3,200,104.0,83.0,51
100,3,400,117.0,87.0,88
100,3,1000,124.0,97.0,441
100,3,2500,133.0,102.0,696
100,3,5000,130.33333333333334,102.0,1517
100,3,10000,142.7777777777778,105.0,1993
100,3,20000,144.92592592592595,107.0,3404
100,6,100,80.0,84.0,14
100,6,200,111.33333333333333,88.0,53
100,6,400,125.77777777777777,96.0,79
100,6,1000,129.25925925925927,96.0,144
100,6,2500,137.0864197530864,105.0,423
100,6,5000,147.02880658436212,108.0,917
100,6,10000,149.67626886145402,109.0,1437
100,6,20000,160.225422953818,113.0,6619
100,9,100,85.33333333333333,91.0,29
100,9,200,109.44444444444444,91.0,43
100,9,400,125.14814814814815,96.0,85
100,9,1000,133.71604938271605,98.0,296
100,9,2500,142.90534979423867,107.0,719
100,9,5000,144.3017832647462,107.0,1726
100,9,10000,153.10059442158206,111.0,2078
100,9,20000,156.36686480719402,113.0,3667
100,12,100,80.66666666666667,84.0,23
100,12,200,109.8888888888889,89.0,35
100,12,400,120.2962962962963,90.0,84
100,12,1000,138.4320987654321,104.0,232
100,12,2500,144.1440329218107,110.0,439
100,12,5000,147.3813443072702,111.0,1067
100,12,10000,149.46044810242338,111.0,1700
100,12,20000,162.82014936747444,113.0,4397
100,15,100,82.0,85.0,23
100,15,200,121.0,103.0,41
100,15,400,133.33333333333334,103.0,72
100,15,1000,137.11111111111111,103.0,254
100,15,2500,140.37037037037035,103.0,558
100,15,5000,146.7901234567901,111.0,1324
100,15,10000,161.93004115226336,113.0,2055
100,15,20000,166.97668038408779,113.0,3881
120,3,100,84.66666666666667,90.0,44
120,3,200,111.22222222222223,90.0,48
120,3,400,123.07407407407408,94.0,89
120,3,1000,121.35802469135803,94.0,211
120,3,2500,126.45267489711934,94.0,486
120,3,5000,130.81755829903977,94.0,945
120,3,10000,133.27251943301326,98.0,2035
120,3,20000,144.7575064776711,105.0,3932
120,6,100,81.33333333333333,87.0,18
120,6,200,107.44444444444444,87.0,45
120,6,400,115.81481481481482,87.0,200
120,6,1000,132.60493827160494,102.0,199
120,6,2500,133.86831275720166,102.0,670
120,6,5000,140.95610425240056,102.0,1427
120,6,10000,148.6520347508002,108.0,2213
120,6,20000,158.2173449169334,113.0,4757
120,9,100,79.33333333333333,81.0,37
120,9,200,114.44444444444444,90.0,40
120,9,400,126.14814814814815,91.0,89
120,9,1000,127.04938271604938,91.0,249
120,9,2500,142.34979423868313,107.0,741
120,9,5000,137.44993141289436,107.0,1286
120,9,10000,143.48331047096477,107.0,2053
120,9,20000,160.49443682365492,113.0,4284
120,12,100,80.0,83.0,23
120,12,200,112.66666666666667,95.0,72
120,12,400,126.8888888888889,95.0,105
120,12,1000,129.2962962962963,95.0,282
120,12,2500,135.09876543209876,102.0,523
120,12,5000,145.69958847736623,111.0,1261
120,12,10000,155.23319615912206,113.0,2138
120,12,20000,161.07773205304068,113.0,5435
120,15,100,84.33333333333333,89.0,47
120,15,200,113.77777777777777,89.0,63
120,15,400,119.25925925925925,89.0,219
120,15,1000,130.0864197530864,100.0,269
120,15,2500,140.6954732510288,107.0,808
120,15,5000,157.56515775034293,113.0,2271
120,15,10000,162.5217192501143,113.0,2788
120,15,20000,162.17390641670477,113.0,4063
140,3,100,80.66666666666667,88.0,17
140,3,200,105.8888888888889,88.0,42
140,3,400,114.62962962962963,88.0,68
140,3,1000,128.54320987654322,100.0,163
140,3,2500,128.8477366255144,100.0,559
140,3,5000,134.9492455418381,100.0,894
140,3,10000,142.98308184727935,105.0,1245
140,3,20000,156.66102728242643,113.0,5843
140,6,100,83.66666666666667,95.0,22
140,6,200,108.55555555555556,95.0,86
140,6,400,119.85185185185185,95.0,106
140,6,1000,132.6172839506173,113.0,395
140,6,2500,145.20576131687244,113.0,619
140,6,5000,144.06858710562415,113.0,1816
140,6,10000,145.35619570187473,113.0,2870
140,6,20000,156.7853985672916,113.0,3862
140,9,100,78.0,81.0,32
140,9,200,106.0,85.0,49
140,9,400,115.0,87.0,112
140,9,1000,128.66666666666666,95.0,249
140,9,2500,142.55555555555554,102.0,571
140,9,5000,151.1851851851852,110.0,1409
140,9,10000,161.7283950617284,113.0,2246
140,9,20000,166.24279835390948,113.0,7442
140,12,100,81.0,86.0,23
140,12,200,109.66666666666667,92.0,52
140,12,400,122.22222222222223,92.0,160
140,12,1000,123.07407407407408,92.0,696
140,12,2500,141.69135802469137,108.0,669
140,12,5000,148.56378600823044,108.0,2295
140,12,10000,159.18792866941013,113.0,4309
140,12,20000,165.3959762231367,113.0,17217
140,15,100,84.0,87.0,93
140,15,200,113.0,96.0,118
140,15,400,133.66666666666666,105.0,236
140,15,1000,137.2222222222222,105.0,1003
140,15,2500,145.74074074074073,107.0,2499
140,15,5000,147.2469135802469,108.0,2537
140,15,10000,152.41563786008228,113.0,6915
140,15,20000,163.47187928669408,113.0,16429
160,3,100,82.66666666666667,95.0,77
160,3,200,105.55555555555556,95.0,137
160,3,400,126.18518518518518,95.0,333
160,3,1000,129.06172839506172,95.0,990
160,3,2500,132.6872427983539,105.0,613
160,3,5000,139.8957475994513,105.0,1303
160,3,10000,141.9652491998171,105.0,4154
160,3,20000,149.98841639993904,111.0,5036
160,6,100,82.0,87.0,22
160,6,200,109.0,87.0,57
160,6,400,122.33333333333333,93.0,127
160,6,1000,123.44444444444444,93.0,227
160,6,2500,127.81481481481482,93.0,536
160,6,5000,137.27160493827162,99.0,1532
160,6,10000,146.4238683127572,108.0,2662
160,6,20000,150.8079561042524,112.0,14279
160,9,100,82.33333333333333,92.0,60
160,9,200,105.77777777777777,92.0,53
160,9,400,129.92592592592592,103.0,85
160,9,1000,130.64197530864197,103.0,363
160,9,2500,142.21399176954733,103.0,1224
160,9,5000,151.73799725651577,109.0,1370
160,9,10000,155.91266575217193,112.0,5972
160,9,20000,159.30422191739066,113.0,6995
160,12,100,81.0,82.0,42
160,12,200,115.0,99.0,36
160,12,400,118.66666666666667,99.0,107
160,12,1000,126.55555555555556,99.0,386
160,12,2500,128.5185185185185,99.0,1253
160,12,5000,140.8395061728395,101.0,1235
160,12,10000,158.61316872427983,113.0,2481
160,12,20000,163.20438957475994,113.0,5501
160,15,100,78.33333333333333,79.0,26
160,15,200,107.44444444444444,84.0,41
160,15,400,121.14814814814815,88.0,218
160,15,1000,124.04938271604938,88.0,940
160,15,2500,142.0164609053498,101.0,2139
160,15,5000,148.33882030178327,108.0,2305
160,15,10000,155.11294010059441,113.0,6075
160,15,20000,164.03764670019814,113.0,8093
180,3,100,88.66666666666667,94.0,41
180,3,200,108.55555555555556,94.0,100
180,3,400,116.18518518518518,94.0,121
180,3,1000,128.06172839506172,96.0,341
180,3,2500,129.35390946502056,96.0,991
180,3,5000,129.45130315500685,97.0,2196
180,3,10000,139.4837677183356,103.0,5279
180,3,20000,142.4945892394452,103.0,4696
180,6,100,80.66666666666667,82.0,57
180,6,200,107.55555555555556,90.0,146
180,6,400,123.18518518518518,93.0,232
180,6,1000,122.72839506172839,93.0,388
180,6,2500,136.5761316872428,103.0,671
180,6,5000,141.85871056241425,106.0,1322
180,6,10000,156.95290352080474,113.0,3122
180,6,20000,163.31763450693492,113.0,4699
180,9,100,80.0,90.0,31
180,9,200,114.33333333333333,99.0,44
180,9,400,126.77777777777777,100.0,129
180,9,1000,126.92592592592592,100.0,261
180,9,2500,142.30864197530863,104.0,617
180,9,5000,150.43621399176956,108.0,1425
180,9,10000,157.1454046639232,112.0,2610
180,9,20000,158.38180155464104,112.0,4890
180,12,100,85.33333333333333,101.0,35
180,12,200,111.1111111111111,101.0,47
180,12,400,124.37037037037037,101.0,115
180,12,1000,122.4567901234568,101.0,256
180,12,2500,132.1522633744856,101.0,634
180,12,5000,135.71742112482855,101.0,1172
180,12,10000,146.5724737082762,111.0,2393
180,12,20000,161.85749123609207,113.0,5017
180,15,100,79.33333333333333,81.0,32
180,15,200,109.77777777777777,90.0,493
180,15,400,119.25925925925925,90.0,114
180,15,1000,137.0864197530864,104.0,274
180,15,2500,141.6954732510288,105.0,725
180,15,5000,152.89849108367628,107.0,1170
180,15,10000,159.63283036122542,113.0,2164
