Count Ones Problem


Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, avg, best, train_time
1.0E9,0.8,80.0,80.0,20
1.0E9,0.9,80.0,80.0,19
1.0E9,0.95,80.0,80.0,19
1.0E9,0.99,80.0,80.0,11
1.0E10,0.8,80.0,80.0,32
1.0E10,0.9,80.0,80.0,18
1.0E10,0.95,80.0,80.0,16
1.0E10,0.99,80.0,80.0,11
1.0E11,0.8,80.0,80.0,20
1.0E11,0.9,80.0,80.0,40
1.0E11,0.95,80.0,80.0,18
1.0E11,0.99,80.0,80.0,54
1.0E12,0.8,80.0,80.0,68
1.0E12,0.9,80.0,80.0,19
1.0E12,0.95,80.0,80.0,20
1.0E12,0.99,80.0,80.0,16
1.0E13,0.8,80.0,80.0,44
1.0E13,0.9,80.0,80.0,33
1.0E13,0.95,80.0,80.0,47
1.0E13,0.99,80.0,80.0,13

Genetic Algorithm
---------------------------------
GA, crossover, mutation, avg, best, train_time
10,3,71.2,77.0,133
10,6,72.6,75.0,96
10,9,75.6,77.0,90
10,12,75.2,78.0,87
10,15,76.2,78.0,81
20,3,75.4,78.0,98
20,6,75.4,77.0,96
20,9,76.6,80.0,97
20,12,78.0,80.0,97
20,15,78.0,80.0,108
30,3,76.6,78.0,115
30,6,77.8,79.0,141
30,9,78.8,79.0,142
30,12,78.2,80.0,141
30,15,78.6,79.0,146
40,3,76.2,77.0,170
40,6,77.4,79.0,168
40,9,78.2,80.0,150
40,12,78.4,79.0,169
40,15,78.6,80.0,272
50,3,77.2,78.0,168
50,6,78.2,80.0,173
50,9,78.8,79.0,207
50,12,78.8,80.0,166
50,15,78.8,80.0,163
60,3,78.4,80.0,191
60,6,79.2,80.0,195
60,9,78.0,80.0,191
60,12,79.2,80.0,224
60,15,79.0,80.0,204

MIMIC
---------------------------------
MI, samples, keep, avg,best, train_time
100,20,80.0,80.0,4645
100,40,78.6,80.0,6504
100,60,78.0,78.0,7588
100,80,77.8,79.0,9636
150,20,80.0,80.0,5154
150,40,79.4,80.0,6277
150,60,79.8,80.0,7797
150,80,79.0,80.0,9281
200,20,80.0,80.0,5985
200,40,80.0,80.0,8244
200,60,80.0,80.0,8148
200,80,79.6,80.0,9224
250,20,80.0,80.0,6585
250,40,80.0,80.0,7131
250,60,80.0,80.0,8119
250,80,80.0,80.0,8140
