Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, num_iterations, avg, best, train_time
1.0E9,0.8,100,37.666666666666664,40.0,1
1.0E9,0.8,200,71.88888888888889,61.0,1
1.0E9,0.8,400,95.2962962962963,74.0,2
1.0E9,0.8,1000,111.76543209876543,80.0,1
1.0E9,0.8,2500,117.2551440329218,80.0,4
1.0E9,0.8,5000,119.08504801097394,80.0,5
1.0E9,0.8,10000,119.69501600365798,80.0,10
1.0E9,0.8,20000,119.898338667886,80.0,19
1.0E9,0.9,100,39.333333333333336,46.0,0
1.0E9,0.9,200,54.77777777777778,46.0,0
1.0E9,0.9,400,81.25925925925925,66.0,0
1.0E9,0.9,1000,106.75308641975307,80.0,0
1.0E9,0.9,2500,115.58436213991769,80.0,1
1.0E9,0.9,5000,118.5281207133059,80.0,3
1.0E9,0.9,10000,119.50937357110196,80.0,8
1.0E9,0.9,20000,119.83645785703398,80.0,32
1.0E9,0.95,100,41.0,43.0,0
1.0E9,0.95,200,57.666666666666664,48.0,0
1.0E9,0.95,400,58.55555555555555,48.0,0
1.0E9,0.95,1000,97.18518518518518,78.0,1
1.0E9,0.95,2500,112.39506172839505,80.0,2
1.0E9,0.95,5000,117.46502057613168,80.0,3
1.0E9,0.95,10000,119.15500685871056,80.0,7
1.0E9,0.95,20000,119.7183356195702,80.0,13
1.0E9,0.99,100,40.0,41.0,0
1.0E9,0.99,200,53.0,50.0,0
1.0E9,0.99,400,56.333333333333336,50.0,0
1.0E9,0.99,1000,62.44444444444445,50.0,0
1.0E9,0.99,2500,61.48148148148149,50.0,1
1.0E9,0.99,5000,100.49382716049384,80.0,2
1.0E9,0.99,10000,113.49794238683127,80.0,4
1.0E9,0.99,20000,117.83264746227708,80.0,20
1.0E10,0.8,100,36.333333333333336,45.0,0
1.0E10,0.8,200,66.44444444444444,56.0,0
1.0E10,0.8,400,93.48148148148148,73.0,1
1.0E10,0.8,1000,111.1604938271605,80.0,1
1.0E10,0.8,2500,117.05349794238684,80.0,2
1.0E10,0.8,5000,119.01783264746228,80.0,6
1.0E10,0.8,10000,119.67261088248743,80.0,11
1.0E10,0.8,20000,119.89087029416248,80.0,29
1.0E10,0.9,100,39.333333333333336,45.0,0
1.0E10,0.9,200,55.111111111111114,47.0,1
1.0E10,0.9,400,82.70370370370371,71.0,0
1.0E10,0.9,1000,107.23456790123457,80.0,1
1.0E10,0.9,2500,115.7448559670782,80.0,1
1.0E10,0.9,5000,118.58161865569274,80.0,3
1.0E10,0.9,10000,119.52720621856425,80.0,13
1.0E10,0.9,20000,119.84240207285474,80.0,18
1.0E10,0.95,100,43.333333333333336,50.0,0
1.0E10,0.95,200,49.44444444444445,50.0,0
1.0E10,0.95,400,57.14814814814815,50.0,0
1.0E10,0.95,1000,97.04938271604938,79.0,1
1.0E10,0.95,2500,112.34979423868312,80.0,2
1.0E10,0.95,5000,117.44993141289437,80.0,2
1.0E10,0.95,10000,119.14997713763147,80.0,4
1.0E10,0.95,20000,119.71665904587717,80.0,12
1.0E10,0.99,100,37.333333333333336,39.0,0
1.0E10,0.99,200,46.44444444444445,43.0,0
1.0E10,0.99,400,53.81481481481482,43.0,1
1.0E10,0.99,1000,56.93827160493827,43.0,0
1.0E10,0.99,2500,59.64609053497943,43.0,1
1.0E10,0.99,5000,99.88203017832647,80.0,3
1.0E10,0.99,10000,113.29401005944216,80.0,5
1.0E10,0.99,20000,117.76467001981405,80.0,22
1.0E11,0.8,100,36.666666666666664,42.0,0
1.0E11,0.8,200,67.22222222222221,61.0,1
1.0E11,0.8,400,95.74074074074075,75.0,1
1.0E11,0.8,1000,111.91358024691358,80.0,1
1.0E11,0.8,2500,117.30452674897118,80.0,2
1.0E11,0.8,5000,119.10150891632372,80.0,6
1.0E11,0.8,10000,119.70050297210791,80.0,14
1.0E11,0.8,20000,119.90016765736931,80.0,30
1.0E11,0.9,100,38.333333333333336,40.0,0
1.0E11,0.9,200,55.44444444444445,48.0,1
1.0E11,0.9,400,86.14814814814815,70.0,0
