Flip Flop Problem


Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, avg, best, train_time
1.0E9,0.8,77.2,79.0,18
1.0E9,0.9,77.8,79.0,17
1.0E9,0.95,77.2,78.0,19
1.0E9,0.99,77.2,78.0,11
1.0E10,0.8,77.4,78.0,31
1.0E10,0.9,78.4,79.0,17
1.0E10,0.95,78.2,79.0,13
1.0E10,0.99,77.4,78.0,9
1.0E11,0.8,78.0,79.0,20
1.0E11,0.9,77.4,78.0,32
1.0E11,0.95,78.4,79.0,13
1.0E11,0.99,76.6,78.0,11
1.0E12,0.8,78.2,79.0,18
1.0E12,0.9,78.2,79.0,15
1.0E12,0.95,77.8,79.0,13
1.0E12,0.99,78.0,79.0,12
1.0E13,0.8,78.2,79.0,17
1.0E13,0.9,77.4,79.0,16
1.0E13,0.95,77.8,79.0,13
1.0E13,0.99,77.6,79.0,10

Genetic Algorithm
---------------------------------
GA, crossover, mutation, avg, best, train_time
10,3,65.2,69.0,85
10,6,67.4,71.0,84
10,9,66.8,69.0,60
10,12,67.4,70.0,62
10,15,69.4,72.0,62
20,3,64.8,67.0,64
20,6,66.4,70.0,63
20,9,69.4,72.0,64
20,12,67.2,70.0,66
20,15,70.2,74.0,67
30,3,66.0,68.0,66
30,6,66.2,71.0,68
30,9,67.2,72.0,66
30,12,70.4,73.0,69
30,15,71.0,73.0,70
40,3,66.0,69.0,69
40,6,66.2,68.0,71
40,9,70.6,72.0,72
40,12,69.6,71.0,74
40,15,70.6,72.0,74
50,3,65.4,68.0,73
50,6,69.8,74.0,76
50,9,71.4,73.0,76
50,12,68.6,70.0,79
50,15,70.2,72.0,78
60,3,67.2,69.0,78
60,6,71.0,73.0,82
60,9,72.0,72.0,86
60,12,70.2,72.0,101
60,15,71.6,75.0,101

MIMIC
---------------------------------
MI, samples, keep, avg,best, train_time
100,20,70.2,74.0,6282
100,40,68.4,71.0,6258
100,60,65.6,69.0,7866
100,80,64.6,69.0,9529
150,20,71.4,74.0,5464
150,40,68.0,71.0,6288
150,60,70.6,74.0,7583
150,80,70.6,72.0,9258
200,20,72.4,74.0,5905
200,40,69.0,71.0,7250
200,60,71.0,73.0,8765
200,80,70.4,72.0,9426
250,20,73.0,76.0,5933
250,40,71.6,74.0,6999
250,60,70.4,75.0,8119
250,80,72.0,74.0,9427
