Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, num_iterations, avg, best, train_time
1.0E9,0.8,100,45.666666666666664,52.0,0
1.0E9,0.8,200,66.88888888888889,54.0,1
1.0E9,0.8,400,88.96296296296298,68.0,2
1.0E9,0.8,1000,101.65432098765433,75.0,1
1.0E9,0.8,2500,109.55144032921811,77.0,4
1.0E9,0.8,5000,112.18381344307271,77.0,6
1.0E9,0.8,10000,114.72793781435757,78.0,7
1.0E9,0.8,20000,116.57597927145252,79.0,18
1.0E9,0.9,100,39.0,42.0,0
1.0E9,0.9,200,51.333333333333336,45.0,0
1.0E9,0.9,400,73.44444444444444,58.0,1
1.0E9,0.9,1000,93.81481481481482,70.0,1
1.0E9,0.9,2500,105.60493827160495,76.0,2
1.0E9,0.9,5000,112.201646090535,79.0,2
1.0E9,0.9,10000,114.73388203017834,79.0,6
1.0E9,0.9,20000,116.57796067672611,79.0,16
1.0E9,0.95,100,41.333333333333336,46.0,0
1.0E9,0.95,200,54.77777777777778,46.0,1
1.0E9,0.95,400,62.925925925925924,49.0,0
1.0E9,0.95,1000,87.64197530864197,70.0,0
1.0E9,0.95,2500,101.88065843621399,73.0,2
1.0E9,0.95,5000,109.960219478738,78.0,4
1.0E9,0.95,10000,113.32007315957934,78.0,4
1.0E9,0.95,20000,115.10669105319312,78.0,11
1.0E9,0.99,100,38.333333333333336,42.0,0
1.0E9,0.99,200,50.111111111111114,42.0,0
1.0E9,0.99,400,58.03703703703704,48.0,0
1.0E9,0.99,1000,59.34567901234568,48.0,0
1.0E9,0.99,2500,58.781893004115226,48.0,1
1.0E9,0.99,5000,92.9272976680384,76.0,2
1.0E9,0.99,10000,107.97576588934614,77.0,5
1.0E9,0.99,20000,113.65858862978205,78.0,9
1.0E10,0.8,100,37.666666666666664,40.0,0
1.0E10,0.8,200,66.88888888888889,61.0,0
1.0E10,0.8,400,85.29629629629629,67.0,0
1.0E10,0.8,1000,100.76543209876543,74.0,1
1.0E10,0.8,2500,109.2551440329218,78.0,3
1.0E10,0.8,5000,112.7517146776406,78.0,6
1.0E10,0.8,10000,114.25057155921354,78.0,10
1.0E10,0.8,20000,116.41685718640451,79.0,16
1.0E10,0.9,100,37.333333333333336,42.0,0
1.0E10,0.9,200,46.44444444444445,42.0,0
1.0E10,0.9,400,74.14814814814815,60.0,0
1.0E10,0.9,1000,97.38271604938272,73.0,0
1.0E10,0.9,2500,106.46090534979425,75.0,1
1.0E10,0.9,5000,112.15363511659808,77.0,2
1.0E10,0.9,10000,113.38454503886602,77.0,5
1.0E10,0.9,20000,116.128181679622,79.0,15
1.0E10,0.95,100,44.0,46.0,0
1.0E10,0.95,200,56.0,49.0,0
1.0E10,0.95,400,55.0,49.0,0
1.0E10,0.95,1000,87.0,71.0,0
1.0E10,0.95,2500,102.33333333333333,75.0,1
1.0E10,0.95,5000,109.44444444444444,77.0,2
1.0E10,0.95,10000,112.81481481481482,79.0,7
1.0E10,0.95,20000,115.60493827160495,79.0,10
1.0E10,0.99,100,37.666666666666664,40.0,0
1.0E10,0.99,200,53.22222222222222,49.0,0
1.0E10,0.99,400,62.074074074074076,49.0,0
1.0E10,0.99,1000,59.358024691358025,49.0,1
1.0E10,0.99,2500,57.452674897119344,49.0,1
1.0E10,0.99,5000,93.48422496570645,76.0,3
1.0E10,0.99,10000,106.82807498856882,76.0,5
1.0E10,0.99,20000,113.2760249961896,78.0,8
1.0E11,0.8,100,39.333333333333336,42.0,0
1.0E11,0.8,200,69.11111111111111,56.0,0
1.0E11,0.8,400,84.37037037037037,66.0,0
1.0E11,0.8,1000,101.4567901234568,75.0,0
1.0E11,0.8,2500,107.81893004115227,75.0,2
1.0E11,0.8,5000,111.93964334705076,78.0,5
