Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, num_iterations, avg, best, train_time
1.0E9,0.8,100,1.0,1.0,1
1.0E9,0.8,200,2.6666666666666665,3.0,3
1.0E9,0.8,400,2.888888888888889,3.0,2
1.0E9,0.8,1000,7.296296296296297,8.0,6
1.0E9,0.8,2500,19.098765432098766,21.0,5
1.0E9,0.8,5000,26.69958847736625,27.0,6
1.0E9,0.8,10000,50.23319615912209,48.0,29
1.0E9,0.8,20000,133.0777320530407,131.0,48
1.0E9,0.9,100,1.3333333333333333,3.0,1
1.0E9,0.9,200,1.111111111111111,3.0,0
1.0E9,0.9,400,6.37037037037037,11.0,5
1.0E9,0.9,1000,6.1234567901234565,11.0,0
1.0E9,0.9,2500,16.041152263374485,25.0,1
1.0E9,0.9,5000,28.680384087791495,27.0,3
1.0E9,0.9,10000,60.226794695930494,66.0,7
1.0E9,0.9,20000,116.7422648986435,106.0,47
1.0E9,0.95,100,2.6666666666666665,4.0,0
1.0E9,0.95,200,2.5555555555555554,4.0,1
1.0E9,0.95,400,1.5185185185185184,4.0,0
1.0E9,0.95,1000,3.8395061728395063,4.0,2
1.0E9,0.95,2500,18.94650205761317,18.0,1
1.0E9,0.95,5000,24.64883401920439,22.0,3
1.0E9,0.95,10000,54.88294467306813,54.0,6
1.0E9,0.95,20000,107.62764822435604,92.0,15
1.0E9,0.99,100,2.3333333333333335,7.0,0
1.0E9,0.99,200,2.4444444444444446,7.0,0
1.0E9,0.99,400,4.148148148148148,7.0,0
1.0E9,0.99,1000,2.382716049382716,7.0,0
1.0E9,0.99,2500,3.127572016460905,7.0,1
1.0E9,0.99,5000,16.3758573388203,23.0,3
1.0E9,0.99,10000,39.12528577960676,37.0,17
1.0E9,0.99,20000,97.37509525986893,88.0,12
1.0E10,0.8,100,2.6666666666666665,7.0,0
1.0E10,0.8,200,2.222222222222222,7.0,1
1.0E10,0.8,400,7.407407407407407,9.0,0
1.0E10,0.8,1000,10.469135802469136,16.0,1
1.0E10,0.8,2500,11.823045267489713,16.0,3
1.0E10,0.8,5000,35.274348422496566,38.0,9
1.0E10,0.8,10000,64.09144947416551,57.0,12
1.0E10,0.8,20000,137.03048315805518,144.0,16
1.0E10,0.9,100,0.3333333333333333,1.0,0
1.0E10,0.9,200,3.7777777777777772,6.0,0
1.0E10,0.9,400,2.9259259259259256,6.0,0
1.0E10,0.9,1000,6.975308641975308,7.0,1
1.0E10,0.9,2500,13.325102880658434,13.0,1
1.0E10,0.9,5000,39.10836762688614,42.0,3
1.0E10,0.9,10000,57.03612254229538,53.0,6
