Four Peaks Problem



Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, avg, best, train_time
1.0E9,0.8,106.8,121.0,13
1.0E9,0.9,108.6,126.0,9
1.0E9,0.95,101.6,121.0,12
1.0E9,0.99,90.2,105.0,8
1.0E10,0.8,119.2,143.0,12
1.0E10,0.9,92.0,110.0,9
1.0E10,0.95,90.6,104.0,9
1.0E10,0.99,85.0,91.0,18
1.0E11,0.8,108.8,123.0,12
1.0E11,0.9,107.0,130.0,13
1.0E11,0.95,104.4,116.0,10
1.0E11,0.99,88.0,102.0,8
1.0E12,0.8,99.6,113.0,11
1.0E12,0.9,107.2,126.0,11
1.0E12,0.95,98.0,146.0,9
1.0E12,0.99,75.4,108.0,8
1.0E13,0.8,93.2,112.0,11
1.0E13,0.9,109.0,129.0,13
1.0E13,0.95,95.0,112.0,11
1.0E13,0.99,90.2,106.0,8

Genetic Algorithm
---------------------------------
GA, crossover, mutation, avg, best, train_time
10,3,9.8,12.0,100
10,6,16.4,19.0,84
10,9,18.8,23.0,88
10,12,18.6,27.0,85
10,15,20.8,30.0,93
20,3,13.2,18.0,90
20,6,17.8,24.0,91
20,9,15.0,19.0,89
20,12,18.6,28.0,90
20,15,20.8,26.0,90
30,3,13.6,17.0,90
30,6,17.0,27.0,94
30,9,19.2,26.0,92
30,12,17.0,21.0,92
30,15,22.2,26.0,147
40,3,12.0,15.0,94
40,6,17.2,31.0,94
40,9,18.2,28.0,113
40,12,18.8,23.0,96
40,15,23.4,32.0,100
50,3,14.8,19.0,101
50,6,14.4,18.0,100
50,9,21.8,29.0,97
50,12,19.8,26.0,101
50,15,24.6,27.0,98
60,3,14.6,19.0,104
60,6,15.4,18.0,103
60,9,19.4,25.0,104
60,12,23.4,31.0,106
60,15,24.6,33.0,107

MIMIC
---------------------------------
MI, samples, keep, avg,best, train_time
100,20,47.0,54.0,17478
100,40,16.4,17.0,28087
100,60,11.0,18.0,35038
100,80,7.4,9.0,58071
150,20,59.4,74.0,29010
150,40,30.2,34.0,25871
150,60,21.2,28.0,32062
150,80,9.8,16.0,40705
200,20,79.4,88.0,26290
200,40,38.0,47.0,26606
200,60,27.8,44.0,28322
200,80,20.0,33.0,34374
250,20,94.2,101.0,18294
250,40,43.2,58.0,24276
250,60,37.2,43.0,34712
250,80,23.2,27.0,44044
