Knapsack Problem


Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, avg, best, train_time
1.0E9,0.8,3183.808833099887,3399.947883160943,20
1.0E9,0.9,3184.3068460774502,3368.012317124199,15
1.0E9,0.95,3234.194701655123,3375.2537217201316,13
1.0E9,0.99,3593.2316957985195,3713.2631506788384,8
1.0E10,0.8,3217.917187022578,3322.573374944487,22
1.0E10,0.9,3253.123973989944,3408.9784503470014,17
1.0E10,0.95,3254.507694472214,3399.0178618206746,12
1.0E10,0.99,3508.2603253090647,3627.154837480341,7
1.0E11,0.8,3127.9462696345554,3222.547374765943,23
1.0E11,0.9,3261.3572180378396,3354.752783189405,21
1.0E11,0.95,3283.4797547587586,3440.5301481874812,15
1.0E11,0.99,3508.208242840654,3659.9665783780247,8
1.0E12,0.8,3120.6903516883494,3180.4690789094984,20
1.0E12,0.9,3179.875919140772,3341.4402399208466,16
1.0E12,0.95,3178.95848444724,3414.136450025321,12
1.0E12,0.99,3628.835081505381,3658.5166048187834,8
1.0E13,0.8,3313.364392268638,3538.5505762966927,19
1.0E13,0.9,3234.264928040443,3434.2058070712546,16
1.0E13,0.95,3190.633360137822,3294.6859800749403,12
1.0E13,0.99,3553.9675054382315,3706.030994284539,9

Genetic Algorithm
---------------------------------
GA, crossover, mutation, avg, best, train_time
10,3,3481.7125400317136,3561.1713614361265,58
10,6,3554.494839316035,3584.991271366658,51
10,9,3636.335926561708,3747.371054049034,41
10,12,3624.7220123423795,3679.469025963794,41
10,15,3667.10550737235,3730.185140129789,42
20,3,3549.987889477275,3601.235793088961,47
20,6,3609.7811714114882,3690.329158349561,50
20,9,3720.497483880604,3808.352873390039,47
20,12,3637.65318396411,3770.996452154626,51
20,15,3711.7393481024146,3774.4523812633142,51
30,3,3628.658332519669,3689.5105436347662,58
30,6,3706.346525382577,3749.957949642443,62
30,9,3700.805226533494,3759.5479646747413,56
30,12,3688.252700910768,3782.0132667086195,61
30,15,3687.908043499173,3798.655363439366,59
40,3,3610.484399849057,3643.7639074531253,64
40,6,3646.3549128263176,3710.506353522801,62
40,9,3689.4435098389376,3708.0924389314955,62
40,12,3698.8679201851323,3766.7379029713957,64
40,15,3681.2150437740165,3723.2571624438706,65
50,3,3652.0251677831575,3729.684266319619,72
50,6,3646.6389344699805,3712.657295055889,74
50,9,3659.586032272219,3693.158876665815,69
50,12,3726.808646744783,3822.9707181442254,74
50,15,3672.9126623995144,3788.9809368063834,76
60,3,3686.702641582873,3758.995250703936,87
60,6,3691.751567364944,3765.2510050641604,92
60,9,3697.2477305914676,3739.863563587736,83
60,12,3680.517730722654,3703.2785111446055,87
60,15,3728.617083118131,3793.080168343557,84

MIMIC
---------------------------------
MI, samples, keep, avg,best, train_time
100,20,3633.7224683680643,3743.213340351661,1216
100,40,3674.5642978083924,3738.0446126037314,1369
100,60,3653.7598840891324,3714.416220205061,1642
100,80,3536.758355175391,3648.714644626834,2566
150,20,3733.76665275017,3795.9557298253935,2692
150,40,3750.3609343410294,3818.4235517118677,1779
150,60,3760.5335724834413,3837.6611016754773,2054
150,80,3731.973974007782,3815.6439650622424,2259
200,20,3767.0637676855413,3810.273758612213,1723
200,40,3728.193039612009,3740.0940715489837,2012
200,60,3821.0129047349246,3871.5196661492278,2233
200,80,3809.0072856570196,3845.8007428868855,2444
250,20,3811.635139412486,3879.176952975366,2134
250,40,3799.4985515248795,3872.6593994808013,2286
250,60,3821.795784918622,3854.3480325967857,2562
250,80,3844.8021200102894,3889.871505022494,2743
