Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, num_iterations, avg, best, train_time
1.0E9,0.8,100,1804.3750282472029,1972.1705827269411,2
1.0E9,0.8,200,3375.3771450820036,2889.1186695110405,1
1.0E9,0.8,400,4074.1668737614305,3038.160661166021,3
1.0E9,0.8,1000,4295.620896793093,3038.160661166021,1
1.0E9,0.8,2500,4298.358335470013,3049.263238293731,4
1.0E9,0.8,5000,4250.865975764455,3049.263238293731,15
1.0E9,0.8,10000,4425.938785503704,3126.9725738543516,13
1.0E9,0.8,20000,4204.794233849637,3126.9725738543516,25
1.0E9,0.9,100,1632.6308944825712,2025.4093169434334,0
1.0E9,0.9,200,2371.5972748526015,2025.4093169434334,0
1.0E9,0.9,400,3760.158516267624,3033.517670512038,0
1.0E9,0.9,1000,4151.206188122739,3033.517670512038,1
1.0E9,0.9,2500,4303.923138229914,3062.2791785474633,1
1.0E9,0.9,5000,4400.333788345583,3062.2791785474633,3
1.0E9,0.9,10000,4409.546604543735,3062.2791785474633,14
1.0E9,0.9,20000,4503.073028999626,3173.175283373108,34
1.0E9,0.95,100,1757.159077549244,1914.8110048497274,0
1.0E9,0.95,200,2289.515129450086,1924.388288748887,0
1.0E9,0.95,400,2546.231282985133,2012.5190292441107,0
1.0E9,0.95,1000,3759.0515199701185,3109.804765976776,1
1.0E9,0.95,2500,4121.781167277,3109.804765976776,2
1.0E9,0.95,5000,4355.12739811632,3109.804765976776,3
1.0E9,0.95,10000,4417.327617552219,3109.804765976776,8
1.0E9,0.95,20000,4457.632187812229,3154.355778031756,20
1.0E9,0.99,100,1521.340048521717,1670.7413593935844,0
1.0E9,0.99,200,2209.4263285421434,1880.397603379241,1
1.0E9,0.99,400,2384.032073427791,1880.397603379241,0
1.0E9,0.99,1000,2499.6386605060416,2090.704523546609,0
1.0E9,0.99,2500,3844.654003387601,3166.0586202060636,0
1.0E9,0.99,5000,4505.6587186632205,3350.534317005894,3
1.0E9,0.99,10000,4736.617986350227,3350.534317005894,5
1.0E9,0.99,20000,4779.019031330411,3350.534317005894,21
1.0E10,0.8,100,1588.6608637878235,1632.6441963587522,0
1.0E10,0.8,200,3085.21283428441,2696.2190125179336,0
1.0E10,0.8,400,3941.4560364728954,2985.713725403964,1
1.0E10,0.8,1000,4225.272558465081,2985.713725403964,1
1.0E10,0.8,2500,4222.966322881012,2985.713725403964,3
1.0E10,0.8,5000,4312.658224398124,3007.8667937773093,6
1.0E10,0.8,10000,4420.673314759883,3157.8150805660616,19
1.0E10,0.8,20000,4270.840204200482,3157.8150805660616,27
1.0E10,0.9,100,1381.33970351485,1537.361271926919,0
1.0E10,0.9,200,2291.3122619288656,1949.9012830276188,0
1.0E10,0.9,400,3759.9896263555947,3085.236836305698,0
1.0E10,0.9,1000,4270.073950042207,3106.928796923474,1
1.0E10,0.9,2500,4399.222309924337,3200.7198269725436,2
1.0E10,0.9,5000,4382.979077549607,3200.7198269725436,5
1.0E10,0.9,10000,4410.404007207876,3200.7198269725436,12
1.0E10,0.9,20000,4326.819820496034,3200.7198269725436,24
1.0E10,0.95,100,1874.3676527395994,2040.322828202723,0
1.0E10,0.95,200,2266.4920883585646,2047.0279101097613,0
1.0E10,0.95,400,2493.0366288325904,2047.0279101097613,0
1.0E10,0.95,1000,3798.469405791265,3041.550080022943,0
1.0E10,0.95,2500,4141.175954441597,3041.550080022943,2
1.0E10,0.95,5000,4417.476866863158,3136.2273155487,3
1.0E10,0.95,10000,4396.02304900545,3136.2273155487,4
1.0E10,0.95,20000,4527.265129822038,3210.8061200453785,14
1.0E10,0.99,100,1768.6219973586947,1857.7440594815148,0
1.0E10,0.99,200,2289.545504897073,1857.7440594815148,0
1.0E10,0.99,400,2310.3855566514685,1857.7440594815148,0
1.0E10,0.99,1000,2558.4347367989867,1857.7440594815148,0
1.0E10,0.99,2500,3836.483313979641,3018.982755019385,1
1.0E10,0.99,5000,4513.962139076603,3303.0663563601543,2
1.0E10,0.99,10000,4707.712809883349,3303.0663563601543,10
1.0E10,0.99,20000,4782.7151633167605,3303.0663563601543,21
1.0E11,0.8,100,1694.570646868265,1982.301966458671,0
1.0E11,0.8,200,3086.39157589476,2745.019123878258,0
1.0E11,0.8,400,3961.8262174274228,3025.782103280949,0
1.0E11,0.8,1000,4168.412557647756,3025.782103280949,1
1.0E11,0.8,2500,4330.88863689779,3041.7557433999254,3
1.0E11,0.8,5000,4331.3365461792155,3041.7557433999254,11
1.0E11,0.8,10000,4460.657070966484,3106.6867551817863,18
1.0E11,0.8,20000,4384.01715937214,3106.6867551817863,37
1.0E11,0.9,100,1765.2453929087214,1967.0970240540714,0
1.0E11,0.9,200,2158.3136992135037,1967.0970240540714,0
1.0E11,0.9,400,3669.152899680415,2980.3081686814858,0
1.0E11,0.9,1000,4164.540105706336,3081.9196998280127,1
1.0E11,0.9,2500,4383.240099980961,3081.9196998280127,2
1.0E11,0.9,5000,4322.552787874134,3081.9196998280127,3
1.0E11,0.9,10000,4282.393170027076,3081.9196998280127,11
1.0E11,0.9,20000,4456.312318342088,3166.496389786797,23
