Traveling Salesman

Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, avg, best, train_time
1.0E9,0.8,0.11296317803710347,0.12383601384930196,28
1.0E9,0.9,0.11923207031146157,0.13792620471836023,28
1.0E9,0.95,0.11705157985917418,0.12734548616039706,20
1.0E9,0.99,0.12098400131491098,0.13980859295636397,19
1.0E10,0.8,0.1200833154137128,0.1379149778703481,26
1.0E10,0.9,0.11758523351862511,0.1241453580854369,24
1.0E10,0.95,0.11943779094763278,0.12707734388539355,19
1.0E10,0.99,0.1138913606571654,0.12094133816879504,14
1.0E11,0.8,0.12225948191183478,0.1358805547047419,27
1.0E11,0.9,0.12029368414307692,0.12740077513301704,24
1.0E11,0.95,0.1216404663608532,0.1413905121660432,20
1.0E11,0.99,0.12166030998170174,0.1302078677612765,15
1.0E12,0.8,0.12060127346895114,0.1445920586073641,28
1.0E12,0.9,0.11993095280234496,0.12645189832319634,24
1.0E12,0.95,0.11117392001150586,0.11522686436620914,19
1.0E12,0.99,0.12820160545596468,0.13421364034546632,14
1.0E13,0.8,0.11702157999165545,0.13351199541992811,26
1.0E13,0.9,0.11912844475528987,0.13390768039119164,24
1.0E13,0.95,0.12073056189030865,0.12685561785423527,18
1.0E13,0.99,0.12229798468614579,0.13043186806101606,14

Genetic Algorithm
---------------------------------
GA, crossover, mutation, avg, best, train_time
10,3,0.1241371182476733,0.14529169645919285,72
10,6,0.12248457269454119,0.12772465546812173,59
10,9,0.13183816694854486,0.14434312348633763,60
10,12,0.12544705254816493,0.14245866512328334,65
10,15,0.13313685083013702,0.14315792737879945,62
20,3,0.1370160400109257,0.14513039016038176,80
20,6,0.1374938353315093,0.15117512045477977,79
20,9,0.14145828508329908,0.14465551821218495,79
20,12,0.13732543522284013,0.14439271274109172,85
20,15,0.145550258587136,0.15831998447215934,96
30,3,0.14218214746117452,0.1484226144595393,97
30,6,0.14522140087604027,0.15338981464194462,102
30,9,0.15512431206112015,0.16084886627890604,109
30,12,0.1491539720179823,0.1628395941551314,109
30,15,0.1485683862433629,0.162511982458069,105
40,3,0.14222164906759513,0.14568394991442385,134
40,6,0.14558471038036244,0.15801854307569396,125
40,9,0.14881322866780497,0.16199456281654268,117
40,12,0.1429920944514121,0.15035908038323775,114
40,15,0.1499322162214231,0.16199456281654268,127
50,3,0.14085826450588312,0.14520113215479732,152
50,6,0.14000025286714912,0.15171898046517673,154
50,9,0.1511107978520511,0.16074681439778232,138
50,12,0.15082252254775588,0.16199456281654268,144
50,15,0.14588318022552543,0.1505786484519872,153
60,3,0.14723781595847324,0.15394916098413086,173
60,6,0.14333594388519008,0.14783008373765255,182
60,9,0.15398348095709785,0.15684377514611397,175
60,12,0.15201266707756295,0.16199456281654268,176
60,15,0.14741012054689503,0.1511624098976703,183

MIMIC
---------------------------------
MI, samples, keep, avg,best, train_time
100,20,0.14310880850216562,0.1767032131058231,16319
100,40,0.08019644720012384,0.08976263412653601,16953
100,60,0.06831130292069408,0.0751135267770326,16883
100,80,0.05956512081140648,0.06321414296333713,17961
150,20,0.17989277685700056,0.2329129970641655,19435
150,40,0.08797526564494493,0.09102020987537184,21452
150,60,0.0874335490376782,0.09581659814406518,20007
150,80,0.08613676457172983,0.10134435686771129,31451
200,20,0.1845244757246358,0.21807454289974745,27406
200,40,0.1148550427331237,0.13755724789055598,27876
200,60,0.10005490260577668,0.11377325032020394,27589
200,80,0.0949360005871067,0.10159470895720768,21325
250,20,0.19964063740060128,0.2873515924321685,20616
250,40,0.10924674118386705,0.1280260200366195,25123
250,60,0.11439430936787898,0.1255923239640643,22819
250,80,0.09798862415487294,0.108296206901647,26715
