Two Colors Problem


Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, avg, best, train_time
1.0E9,0.8,198.0,198.0,34
1.0E9,0.9,198.0,198.0,36
1.0E9,0.95,198.0,198.0,31
1.0E9,0.99,198.0,198.0,26
1.0E10,0.8,198.0,198.0,35
1.0E10,0.9,198.0,198.0,34
1.0E10,0.95,198.0,198.0,38
1.0E10,0.99,198.0,198.0,78
1.0E11,0.8,198.0,198.0,86
1.0E11,0.9,198.0,198.0,156
1.0E11,0.95,198.0,198.0,130
1.0E11,0.99,198.0,198.0,41
1.0E12,0.8,198.0,198.0,40
1.0E12,0.9,198.0,198.0,33
1.0E12,0.95,198.0,198.0,26
1.0E12,0.99,198.0,198.0,23
1.0E13,0.8,198.0,198.0,38
1.0E13,0.9,198.0,198.0,37
1.0E13,0.95,198.0,198.0,32
1.0E13,0.99,198.0,198.0,32

Genetic Algorithm
---------------------------------
GA, crossover, mutation, avg, best, train_time
10,3,153.6,160.0,181
10,6,159.8,166.0,175
10,9,167.0,171.0,173
10,12,163.2,169.0,226
10,15,171.4,180.0,172
20,3,158.6,170.0,208
20,6,170.6,177.0,411
20,9,175.2,181.0,224
20,12,177.0,178.0,256
20,15,171.8,177.0,326
30,3,170.6,180.0,337
30,6,178.8,186.0,286
30,9,180.2,185.0,555
30,12,180.8,186.0,298
30,15,184.2,194.0,277
40,3,173.6,182.0,403
40,6,178.0,183.0,302
40,9,183.4,188.0,313
40,12,185.4,192.0,309
40,15,184.2,188.0,328
50,3,183.0,188.0,343
50,6,175.6,186.0,351
50,9,185.0,193.0,341
50,12,186.0,190.0,353
50,15,184.8,189.0,373
60,3,181.0,184.0,508
60,6,183.8,190.0,446
60,9,185.0,193.0,412
60,12,188.2,192.0,401
60,15,188.0,194.0,397

MIMIC
---------------------------------
MI, samples, keep, avg,best, train_time
100,20,198.0,198.0,28263
100,40,193.0,196.0,39864
100,60,191.4,196.0,39173
100,80,178.4,182.0,34242
150,20,198.0,198.0,30744
150,40,194.6,198.0,26106
150,60,193.6,196.0,27960
150,80,194.6,196.0,30374
200,20,198.0,198.0,17691
200,40,196.0,198.0,22262
200,60,196.8,198.0,25682
200,80,193.4,198.0,31665
250,20,198.0,198.0,20820
250,40,198.0,198.0,29348
250,60,196.8,198.0,29010
250,80,196.2,198.0,34369
