Simulated Annealing
---------------------------------
SA: initial_temp, cooling_rate, num_iterations, avg, best, train_time
1.0E9,0.8,100,84.66666666666667,90.0,7
1.0E9,0.8,200,145.22222222222223,119.0,3
1.0E9,0.8,400,209.74074074074073,171.0,1
1.0E9,0.8,1000,263.91358024691357,194.0,2
1.0E9,0.8,2500,285.97119341563786,198.0,4
1.0E9,0.8,5000,293.32373113854595,198.0,12
1.0E9,0.8,10000,295.774577046182,198.0,19
1.0E9,0.8,20000,296.59152568206065,198.0,53
1.0E9,0.9,100,90.0,102.0,1
1.0E9,0.9,200,112.66666666666667,102.0,0
1.0E9,0.9,400,168.88888888888889,143.0,0
1.0E9,0.9,1000,248.2962962962963,194.0,2
1.0E9,0.9,2500,280.7654320987654,198.0,9
1.0E9,0.9,5000,291.5884773662551,198.0,7
1.0E9,0.9,10000,295.196159122085,198.0,19
1.0E9,0.9,20000,296.39871970736164,198.0,52
1.0E9,0.95,100,90.33333333333333,107.0,0
1.0E9,0.95,200,114.77777777777777,107.0,0
1.0E9,0.95,400,121.5925925925926,107.0,1
1.0E9,0.95,1000,227.19753086419755,192.0,1
1.0E9,0.95,2500,273.73251028806584,198.0,3
1.0E9,0.95,5000,289.24417009602195,198.0,14
1.0E9,0.95,10000,294.41472336534065,198.0,23
1.0E9,0.95,20000,296.13824112178025,198.0,39
1.0E9,0.99,100,88.33333333333333,98.0,0
1.0E9,0.99,200,113.77777777777777,98.0,0
1.0E9,0.99,400,128.92592592592592,98.0,1
1.0E9,0.99,1000,130.30864197530863,98.0,2
1.0E9,0.99,2500,127.43621399176955,98.0,3
1.0E9,0.99,5000,240.47873799725653,198.0,7
1.0E9,0.99,10000,278.15957933241884,198.0,47
1.0E9,0.99,20000,290.71985977747295,198.0,59
1.0E10,0.8,100,85.66666666666667,99.0,1
1.0E10,0.8,200,142.88888888888889,118.0,0
1.0E10,0.8,400,209.2962962962963,172.0,0
1.0E10,0.8,1000,261.7654320987654,192.0,1
1.0E10,0.8,2500,285.2551440329218,198.0,6
1.0E10,0.8,5000,293.08504801097394,198.0,12
1.0E10,0.8,10000,295.69501600365794,198.0,35
1.0E10,0.8,20000,296.5650053345526,198.0,72
1.0E10,0.9,100,101.33333333333333,118.0,0
1.0E10,0.9,200,131.11111111111111,118.0,1
1.0E10,0.9,400,179.7037037037037,147.0,0
1.0E10,0.9,1000,255.23456790123456,196.0,1
1.0E10,0.9,2500,283.0781893004115,198.0,4
1.0E10,0.9,5000,292.3593964334705,198.0,8
1.0E10,0.9,10000,295.45313214449016,198.0,14
1.0E10,0.9,20000,296.4843773814967,198.0,87
1.0E10,0.95,100,89.33333333333333,93.0,0
1.0E10,0.95,200,116.1111111111111,93.0,0
1.0E10,0.95,400,135.7037037037037,105.0,0
1.0E10,0.95,1000,230.5679012345679,194.0,1
1.0E10,0.95,2500,274.8559670781893,198.0,3
1.0E10,0.95,5000,289.61865569272976,198.0,9
1.0E10,0.95,10000,294.5395518975766,198.0,28
1.0E10,0.95,20000,296.17985063252553,198.0,109
1.0E10,0.99,100,96.0,106.0,0
1.0E10,0.99,200,123.33333333333333,106.0,3
1.0E10,0.99,400,128.77777777777777,106.0,1
1.0E10,0.99,1000,129.25925925925927,106.0,2
1.0E10,0.99,2500,131.41975308641975,106.0,6
1.0E10,0.99,5000,241.80658436213992,198.0,7
1.0E10,0.99,10000,278.60219478738,198.0,27
1.0E10,0.99,20000,290.86739826246,198.0,32
1.0E11,0.8,100,84.33333333333333,88.0,0
1.0E11,0.8,200,155.11111111111111,145.0,0
1.0E11,0.8,400,212.37037037037035,164.0,0
1.0E11,0.8,1000,260.12345679012344,196.0,1
1.0E11,0.8,2500,284.7078189300411,198.0,8
1.0E11,0.8,5000,292.9026063100137,198.0,7
1.0E11,0.8,10000,295.6342021033379,198.0,32
1.0E11,0.8,20000,296.544734034446,198.0,58
1.0E11,0.9,100,87.66666666666667,89.0,0
1.0E11,0.9,200,116.8888888888889,100.0,0
1.0E11,0.9,400,170.96296296296296,139.0,1
1.0E11,0.9,1000,246.320987654321,196.0,2
1.0E11,0.9,2500,280.10699588477365,198.0,4
1.0E11,0.9,5000,291.3689986282579,198.0,31
1.0E11,0.9,10000,295.12299954275267,198.0,15
1.0E11,0.9,20000,296.3743331809176,198.0,59
1.0E11,0.95,100,89.33333333333333,99.0,0
1.0E11,0.95,200,125.1111111111111,103.0,0
1.0E11,0.95,400,125.7037037037037,103.0,1
1.0E11,0.95,1000,221.5679012345679,182.0,1
1.0E11,0.95,2500,271.8559670781893,198.0,3
1.0E11,0.95,5000,288.61865569272976,198.0,14
1.0E11,0.95,10000,294.2062185642433,198.0,19
1.0E11,0.95,20000,296.06873952141444,198.0,51
1.0E11,0.99,100,97.66666666666667,102.0,1
1.0E11,0.99,200,119.55555555555556,102.0,0
1.0E11,0.99,400,132.1851851851852,102.0,1
1.0E11,0.99,1000,139.39506172839506,114.0,1
1.0E11,0.99,2500,127.798353909465,114.0,2
1.0E11,0.99,5000,239.93278463648835,198.0,9
1.0E11,0.99,10000,277.97759487882945,198.0,26
1.0E11,0.99,20000,290.65919829294313,198.0,42
1.0E12,0.8,100,92.33333333333333,97.0,0
1.0E12,0.8,200,155.44444444444443,126.0,1
1.0E12,0.8,400,208.4814814814815,160.0,0
1.0E12,0.8,1000,265.4938271604938,196.0,1
1.0E12,0.8,2500,286.49794238683126,198.0,6
1.0E12,0.8,5000,293.49931412894375,198.0,12
1.0E12,0.8,10000,295.8331047096479,198.0,22
1.0E12,0.8,20000,296.61103490321597,198.0,53
1.0E12,0.9,100,84.33333333333333,97.0,0
1.0E12,0.9,200,109.77777777777777,97.0,0
1.0E12,0.9,400,175.25925925925927,146.0,0
1.0E12,0.9,1000,248.41975308641975,192.0,1
1.0E12,0.9,2500,280.8065843621399,198.0,8
1.0E12,0.9,5000,291.60219478738,198.0,8
1.0E12,0.9,10000,295.20073159579334,198.0,20
1.0E12,0.9,20000,296.40024386526443,198.0,41
1.0E12,0.95,100,90.66666666666667,102.0,0
1.0E12,0.95,200,112.22222222222223,102.0,0
1.0E12,0.95,400,120.4074074074074,102.0,0
1.0E12,0.95,1000,223.1358024691358,189.0,1
1.0E12,0.95,2500,272.37860082304525,198.0,3
1.0E12,0.95,5000,288.79286694101506,198.0,11
1.0E12,0.95,10000,294.26428898033834,198.0,14
1.0E12,0.95,20000,296.0880963267794,198.0,43
1.0E12,0.99,100,89.66666666666667,97.0,0
1.0E12,0.99,200,116.22222222222223,97.0,0
1.0E12,0.99,400,121.07407407407408,97.0,1
1.0E12,0.99,1000,130.69135802469137,99.0,8
1.0E12,0.99,2500,131.23045267489712,99.0,3
1.0E12,0.99,5000,241.74348422496573,198.0,6
1.0E12,0.99,10000,278.5811614083219,198.0,30
1.0E12,0.99,20000,290.8603871361073,198.0,27
1.0E13,0.8,100,79.33333333333333,87.0,0
1.0E13,0.8,200,149.77777777777777,129.0,0
1.0E13,0.8,400,215.5925925925926,173.0,1
1.0E13,0.8,1000,267.8641975308642,198.0,3
1.0E13,0.8,2500,287.2880658436214,198.0,5
1.0E13,0.8,5000,293.7626886145404,198.0,17
1.0E13,0.8,10000,295.92089620484677,198.0,23
1.0E13,0.8,20000,296.6402987349489,198.0,97
1.0E13,0.9,100,97.33333333333333,102.0,1
1.0E13,0.9,200,119.1111111111111,102.0,1
1.0E13,0.9,400,178.7037037037037,143.0,2
1.0E13,0.9,1000,250.90123456790124,196.0,1
1.0E13,0.9,2500,281.6337448559671,198.0,10
1.0E13,0.9,5000,291.877914951989,198.0,7
1.0E13,0.9,10000,295.29263831732965,198.0,48
1.0E13,0.9,20000,296.4308794391099,198.0,57
1.0E13,0.95,100,88.0,91.0,0
1.0E13,0.95,200,116.66666666666667,93.0,1
1.0E13,0.95,400,127.22222222222223,102.0,0
1.0E13,0.95,1000,222.4074074074074,184.0,1
1.0E13,0.95,2500,272.1358024691358,198.0,3
1.0E13,0.95,5000,288.7119341563786,198.0,6
1.0E13,0.95,10000,294.2373113854596,198.0,20
1.0E13,0.95,20000,296.07910379515323,198.0,47
1.0E13,0.99,100,85.66666666666667,88.0,0
1.0E13,0.99,200,119.22222222222223,92.0,0
1.0E13,0.99,400,127.4074074074074,92.0,0
1.0E13,0.99,1000,129.46913580246914,96.0,1
1.0E13,0.99,2500,140.4897119341564,99.0,4
1.0E13,0.99,5000,244.82990397805213,198.0,6
1.0E13,0.99,10000,279.60996799268406,198.0,18
1.0E13,0.99,20000,291.203322664228,198.0,42

Genetic Algorithm
---------------------------------
GA, crossover, mutation, num_iterations, avg, best, train_time
10,3,100,131.33333333333334,133.0,20
10,3,200,179.11111111111111,141.0,47
10,3,400,191.37037037037035,143.0,114
10,3,1000,224.45679012345678,169.0,143
10,3,2500,249.48559670781893,179.0,362
10,3,5000,262.82853223593963,186.0,726
10,3,10000,276.60951074531323,192.0,1637
10,3,20000,284.53650358177106,196.0,2861
10,6,100,125.0,128.0,18
10,6,200,182.66666666666666,145.0,32
10,6,400,215.2222222222222,164.0,55
10,6,1000,231.74074074074073,170.0,144
10,6,2500,253.9135802469136,179.0,357
10,6,5000,272.3045267489712,190.0,710
10,6,10000,281.4348422496571,198.0,1418
10,6,20000,285.4782807498857,198.0,2855
10,9,100,132.33333333333334,138.0,14
10,9,200,186.11111111111111,149.0,29
10,9,400,209.7037037037037,161.0,60
10,9,1000,239.23456790123456,176.0,143
10,9,2500,266.4115226337448,194.0,358
10,9,5000,280.1371742112483,194.0,706
